🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_lfh_w87.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_87.world <<<<<<<<<<<<<<<<<<
[WARN] [1749866519.115713, 0.000000]: wait_for_service(/gazebo/get_model_state): failed to contact, will keep trying
[INFO] [1749866533.498171, 0.000000]: wait_for_service(/gazebo/get_model_state): finally were able to contact [rosrpc://turan-TULPAR-T5-V20-3:38793]
Time: 0.02 (s), x: -2.00 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.00 (m), y: 3.17 (m)
Time: 0.22 (s), x: -2.00 (m), y: 3.22 (m)
Time: 0.33 (s), x: -2.01 (m), y: 3.28 (m)
Time: 0.43 (s), x: -2.02 (m), y: 3.33 (m)
Time: 0.53 (s), x: -2.03 (m), y: 3.38 (m)
Time: 0.63 (s), x: -2.04 (m), y: 3.43 (m)
Time: 0.73 (s), x: -2.06 (m), y: 3.48 (m)
Time: 0.83 (s), x: -2.07 (m), y: 3.52 (m)
Time: 0.94 (s), x: -2.09 (m), y: 3.57 (m)
Time: 1.04 (s), x: -2.11 (m), y: 3.62 (m)
Time: 1.14 (s), x: -2.14 (m), y: 3.67 (m)
Time: 1.24 (s), x: -2.16 (m), y: 3.71 (m)
Time: 1.35 (s), x: -2.17 (m), y: 3.73 (m)
Time: 1.45 (s), x: -2.17 (m), y: 3.73 (m)
Time: 1.55 (s), x: -2.17 (m), y: 3.73 (m)
Time: 1.65 (s), x: -2.17 (m), y: 3.73 (m)
Time: 1.75 (s), x: -2.17 (m), y: 3.73 (m)
Time: 1.86 (s), x: -2.17 (m), y: 3.73 (m)
Time: 1.96 (s), x: -2.18 (m), y: 3.74 (m)
Time: 2.07 (s), x: -2.19 (m), y: 3.76 (m)
Time: 2.17 (s), x: -2.20 (m), y: 3.79 (m)
Time: 2.27 (s), x: -2.22 (m), y: 3.81 (m)
Time: 2.37 (s), x: -2.22 (m), y: 3.82 (m)
Time: 2.48 (s), x: -2.22 (m), y: 3.82 (m)
Time: 2.58 (s), x: -2.24 (m), y: 3.84 (m)
Time: 2.69 (s), x: -2.27 (m), y: 3.87 (m)
Time: 2.79 (s), x: -2.30 (m), y: 3.90 (m)
Time: 2.89 (s), x: -2.31 (m), y: 3.91 (m)
Time: 2.99 (s), x: -2.31 (m), y: 3.92 (m)
Time: 3.09 (s), x: -2.31 (m), y: 3.92 (m)
Time: 3.19 (s), x: -2.31 (m), y: 3.92 (m)
Time: 3.29 (s), x: -2.31 (m), y: 3.92 (m)
Time: 3.40 (s), x: -2.31 (m), y: 3.92 (m)
Time: 3.50 (s), x: -2.31 (m), y: 3.92 (m)
Time: 3.61 (s), x: -2.31 (m), y: 3.92 (m)
Time: 3.71 (s), x: -2.31 (m), y: 3.92 (m)
Time: 3.81 (s), x: -2.31 (m), y: 3.92 (m)
Time: 3.92 (s), x: -2.31 (m), y: 3.92 (m)
Time: 4.02 (s), x: -2.31 (m), y: 3.92 (m)
Time: 4.13 (s), x: -2.31 (m), y: 3.92 (m)
Time: 4.23 (s), x: -2.31 (m), y: 3.92 (m)
Time: 4.33 (s), x: -2.31 (m), y: 3.92 (m)
Time: 4.44 (s), x: -2.31 (m), y: 3.92 (m)
Time: 4.54 (s), x: -2.31 (m), y: 3.92 (m)
Time: 4.64 (s), x: -2.31 (m), y: 3.92 (m)
Time: 4.75 (s), x: -2.31 (m), y: 3.92 (m)
Time: 4.85 (s), x: -2.31 (m), y: 3.92 (m)
Time: 4.95 (s), x: -2.31 (m), y: 3.92 (m)
Time: 5.06 (s), x: -2.31 (m), y: 3.92 (m)
Time: 5.16 (s), x: -2.33 (m), y: 3.93 (m)
Time: 5.26 (s), x: -2.35 (m), y: 3.94 (m)
Time: 5.37 (s), x: -2.38 (m), y: 3.97 (m)
Time: 5.47 (s), x: -2.42 (m), y: 3.99 (m)
Time: 5.57 (s), x: -2.46 (m), y: 4.01 (m)
Time: 5.68 (s), x: -2.50 (m), y: 4.04 (m)
Time: 5.78 (s), x: -2.55 (m), y: 4.07 (m)
Time: 5.88 (s), x: -2.58 (m), y: 4.09 (m)
Time: 5.99 (s), x: -2.60 (m), y: 4.10 (m)
Time: 6.09 (s), x: -2.60 (m), y: 4.10 (m)
Time: 6.20 (s), x: -2.60 (m), y: 4.10 (m)
Time: 6.29 (s), x: -2.60 (m), y: 4.10 (m)
Time: 6.40 (s), x: -2.60 (m), y: 4.10 (m)
Time: 6.50 (s), x: -2.60 (m), y: 4.10 (m)
Time: 6.61 (s), x: -2.60 (m), y: 4.10 (m)
Time: 6.71 (s), x: -2.60 (m), y: 4.10 (m)
Time: 6.82 (s), x: -2.60 (m), y: 4.10 (m)
Time: 6.92 (s), x: -2.60 (m), y: 4.10 (m)
Time: 7.03 (s), x: -2.60 (m), y: 4.10 (m)
Time: 7.14 (s), x: -2.60 (m), y: 4.10 (m)
Time: 7.25 (s), x: -2.60 (m), y: 4.10 (m)
Time: 7.36 (s), x: -2.60 (m), y: 4.10 (m)
Time: 7.46 (s), x: -2.60 (m), y: 4.10 (m)
Time: 7.57 (s), x: -2.60 (m), y: 4.10 (m)
Time: 7.68 (s), x: -2.60 (m), y: 4.10 (m)
Time: 7.79 (s), x: -2.60 (m), y: 4.10 (m)
Time: 7.89 (s), x: -2.60 (m), y: 4.10 (m)
Time: 8.00 (s), x: -2.60 (m), y: 4.10 (m)
Time: 8.11 (s), x: -2.60 (m), y: 4.10 (m)
Time: 8.21 (s), x: -2.60 (m), y: 4.10 (m)
Time: 8.31 (s), x: -2.60 (m), y: 4.10 (m)
Time: 8.42 (s), x: -2.60 (m), y: 4.10 (m)
Time: 8.52 (s), x: -2.60 (m), y: 4.10 (m)
Time: 8.63 (s), x: -2.60 (m), y: 4.10 (m)
Time: 8.74 (s), x: -2.60 (m), y: 4.10 (m)
Time: 8.84 (s), x: -2.60 (m), y: 4.10 (m)
Time: 8.95 (s), x: -2.60 (m), y: 4.10 (m)
Time: 9.05 (s), x: -2.60 (m), y: 4.10 (m)
Time: 9.16 (s), x: -2.60 (m), y: 4.10 (m)
Time: 9.26 (s), x: -2.60 (m), y: 4.10 (m)
