🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_dwa_w257.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_257.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.16 (m)
Time: 0.22 (s), x: -2.25 (m), y: 3.23 (m)
Time: 0.32 (s), x: -2.26 (m), y: 3.32 (m)
Time: 0.43 (s), x: -2.26 (m), y: 3.41 (m)
Time: 0.53 (s), x: -2.26 (m), y: 3.51 (m)
Time: 0.63 (s), x: -2.27 (m), y: 3.62 (m)
Time: 0.74 (s), x: -2.27 (m), y: 3.72 (m)
Time: 0.84 (s), x: -2.28 (m), y: 3.82 (m)
Time: 0.95 (s), x: -2.29 (m), y: 3.92 (m)
Time: 1.06 (s), x: -2.30 (m), y: 4.03 (m)
Time: 1.16 (s), x: -2.31 (m), y: 4.13 (m)
Time: 1.27 (s), x: -2.33 (m), y: 4.23 (m)
Time: 1.37 (s), x: -2.34 (m), y: 4.33 (m)
Time: 1.48 (s), x: -2.36 (m), y: 4.43 (m)
Time: 1.58 (s), x: -2.37 (m), y: 4.53 (m)
Time: 1.68 (s), x: -2.39 (m), y: 4.62 (m)
Time: 1.78 (s), x: -2.41 (m), y: 4.70 (m)
Time: 1.89 (s), x: -2.42 (m), y: 4.79 (m)
Time: 1.99 (s), x: -2.44 (m), y: 4.86 (m)
Time: 2.09 (s), x: -2.45 (m), y: 4.94 (m)
Time: 2.20 (s), x: -2.47 (m), y: 5.01 (m)
Time: 2.31 (s), x: -2.49 (m), y: 5.08 (m)
Time: 2.41 (s), x: -2.50 (m), y: 5.14 (m)
Time: 2.52 (s), x: -2.52 (m), y: 5.20 (m)
Time: 2.62 (s), x: -2.53 (m), y: 5.25 (m)
Time: 2.73 (s), x: -2.54 (m), y: 5.31 (m)
Time: 2.84 (s), x: -2.56 (m), y: 5.36 (m)
Time: 2.95 (s), x: -2.57 (m), y: 5.41 (m)
Time: 3.05 (s), x: -2.58 (m), y: 5.45 (m)
Time: 3.16 (s), x: -2.60 (m), y: 5.51 (m)
Time: 3.26 (s), x: -2.61 (m), y: 5.57 (m)
Time: 3.37 (s), x: -2.63 (m), y: 5.64 (m)
Time: 3.47 (s), x: -2.64 (m), y: 5.71 (m)
Time: 3.57 (s), x: -2.64 (m), y: 5.75 (m)
Time: 3.68 (s), x: -2.65 (m), y: 5.78 (m)
Time: 3.79 (s), x: -2.65 (m), y: 5.82 (m)
Time: 3.90 (s), x: -2.65 (m), y: 5.87 (m)
Time: 4.00 (s), x: -2.65 (m), y: 5.93 (m)
Time: 4.11 (s), x: -2.66 (m), y: 5.99 (m)
Time: 4.21 (s), x: -2.66 (m), y: 6.05 (m)
Time: 4.32 (s), x: -2.66 (m), y: 6.11 (m)
Time: 4.43 (s), x: -2.65 (m), y: 6.16 (m)
Time: 4.53 (s), x: -2.65 (m), y: 6.20 (m)
Time: 4.64 (s), x: -2.64 (m), y: 6.24 (m)
Time: 4.75 (s), x: -2.62 (m), y: 6.29 (m)
Time: 4.85 (s), x: -2.59 (m), y: 6.34 (m)
Time: 4.96 (s), x: -2.56 (m), y: 6.40 (m)
Time: 5.06 (s), x: -2.52 (m), y: 6.48 (m)
Time: 5.17 (s), x: -2.48 (m), y: 6.57 (m)
Time: 5.28 (s), x: -2.44 (m), y: 6.66 (m)
Time: 5.38 (s), x: -2.39 (m), y: 6.75 (m)
Time: 5.49 (s), x: -2.35 (m), y: 6.85 (m)
Time: 5.60 (s), x: -2.30 (m), y: 6.94 (m)
Time: 5.71 (s), x: -2.26 (m), y: 7.04 (m)
Time: 5.81 (s), x: -2.21 (m), y: 7.13 (m)
Time: 5.91 (s), x: -2.17 (m), y: 7.22 (m)
Time: 6.02 (s), x: -2.14 (m), y: 7.31 (m)
Time: 6.13 (s), x: -2.10 (m), y: 7.39 (m)
Time: 6.23 (s), x: -2.07 (m), y: 7.47 (m)
Time: 6.34 (s), x: -2.04 (m), y: 7.54 (m)
Time: 6.45 (s), x: -2.01 (m), y: 7.61 (m)
Time: 6.55 (s), x: -1.98 (m), y: 7.68 (m)
Time: 6.66 (s), x: -1.96 (m), y: 7.75 (m)
Time: 6.77 (s), x: -1.93 (m), y: 7.83 (m)
Time: 6.87 (s), x: -1.91 (m), y: 7.90 (m)
Time: 6.98 (s), x: -1.89 (m), y: 7.95 (m)
Time: 7.09 (s), x: -1.87 (m), y: 8.00 (m)
Time: 7.20 (s), x: -1.85 (m), y: 8.05 (m)
