🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_eband_w299.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_299.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.15 (m)
Time: 0.22 (s), x: -2.25 (m), y: 3.20 (m)
Time: 0.32 (s), x: -2.23 (m), y: 3.25 (m)
Time: 0.43 (s), x: -2.22 (m), y: 3.30 (m)
Time: 0.53 (s), x: -2.21 (m), y: 3.35 (m)
Time: 0.64 (s), x: -2.20 (m), y: 3.40 (m)
Time: 0.74 (s), x: -2.19 (m), y: 3.44 (m)
Time: 0.84 (s), x: -2.17 (m), y: 3.49 (m)
Time: 0.95 (s), x: -2.16 (m), y: 3.54 (m)
Time: 1.05 (s), x: -2.14 (m), y: 3.59 (m)
Time: 1.16 (s), x: -2.13 (m), y: 3.63 (m)
Time: 1.26 (s), x: -2.12 (m), y: 3.68 (m)
Time: 1.36 (s), x: -2.10 (m), y: 3.74 (m)
Time: 1.47 (s), x: -2.08 (m), y: 3.80 (m)
Time: 1.57 (s), x: -2.06 (m), y: 3.85 (m)
Time: 1.68 (s), x: -2.05 (m), y: 3.90 (m)
Time: 1.78 (s), x: -2.04 (m), y: 3.95 (m)
Time: 1.89 (s), x: -2.04 (m), y: 4.00 (m)
Time: 1.99 (s), x: -2.04 (m), y: 4.06 (m)
Time: 2.09 (s), x: -2.04 (m), y: 4.12 (m)
Time: 2.20 (s), x: -2.04 (m), y: 4.17 (m)
Time: 2.30 (s), x: -2.03 (m), y: 4.23 (m)
Time: 2.41 (s), x: -2.02 (m), y: 4.28 (m)
Time: 2.51 (s), x: -2.00 (m), y: 4.33 (m)
Time: 2.62 (s), x: -1.98 (m), y: 4.38 (m)
Time: 2.72 (s), x: -1.97 (m), y: 4.44 (m)
Time: 2.83 (s), x: -1.95 (m), y: 4.50 (m)
Time: 2.93 (s), x: -1.95 (m), y: 4.55 (m)
Time: 3.03 (s), x: -1.95 (m), y: 4.59 (m)
Time: 3.14 (s), x: -1.96 (m), y: 4.63 (m)
Time: 3.24 (s), x: -1.96 (m), y: 4.68 (m)
Time: 3.35 (s), x: -1.96 (m), y: 4.73 (m)
Time: 3.46 (s), x: -1.95 (m), y: 4.78 (m)
Time: 3.56 (s), x: -1.93 (m), y: 4.82 (m)
Time: 3.66 (s), x: -1.91 (m), y: 4.86 (m)
Time: 3.77 (s), x: -1.89 (m), y: 4.90 (m)
Time: 3.88 (s), x: -1.87 (m), y: 4.95 (m)
Time: 3.98 (s), x: -1.86 (m), y: 5.00 (m)
Time: 4.08 (s), x: -1.84 (m), y: 5.05 (m)
Time: 4.19 (s), x: -1.83 (m), y: 5.10 (m)
Time: 4.29 (s), x: -1.83 (m), y: 5.15 (m)
Time: 4.40 (s), x: -1.84 (m), y: 5.17 (m)
Time: 4.50 (s), x: -1.85 (m), y: 5.20 (m)
Time: 4.60 (s), x: -1.86 (m), y: 5.24 (m)
Time: 4.71 (s), x: -1.87 (m), y: 5.29 (m)
