🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_teb_w243.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_243.world <<<<<<<<<<<<<<<<<<
[WARN] [1749851261.370157, 58.380000]: Inbound TCP/IP connection failed: timed out
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.21 (m)
Time: 0.22 (s), x: -2.25 (m), y: 3.34 (m)
Time: 0.33 (s), x: -2.25 (m), y: 3.49 (m)
Time: 0.43 (s), x: -2.25 (m), y: 3.64 (m)
Time: 0.54 (s), x: -2.24 (m), y: 3.78 (m)
Time: 0.64 (s), x: -2.22 (m), y: 3.94 (m)
Time: 0.75 (s), x: -2.17 (m), y: 4.08 (m)
Time: 0.85 (s), x: -2.11 (m), y: 4.19 (m)
Time: 0.96 (s), x: -2.05 (m), y: 4.26 (m)
Time: 1.06 (s), x: -2.00 (m), y: 4.31 (m)
Time: 1.16 (s), x: -1.98 (m), y: 4.34 (m)
Time: 1.27 (s), x: -1.95 (m), y: 4.35 (m)
Time: 1.37 (s), x: -1.92 (m), y: 4.38 (m)
Time: 1.47 (s), x: -1.87 (m), y: 4.41 (m)
Time: 1.58 (s), x: -1.82 (m), y: 4.44 (m)
Time: 1.68 (s), x: -1.76 (m), y: 4.48 (m)
Time: 1.79 (s), x: -1.69 (m), y: 4.55 (m)
Time: 1.89 (s), x: -1.61 (m), y: 4.62 (m)
Time: 1.99 (s), x: -1.54 (m), y: 4.67 (m)
Time: 2.09 (s), x: -1.49 (m), y: 4.72 (m)
Time: 2.20 (s), x: -1.43 (m), y: 4.79 (m)
Time: 2.30 (s), x: -1.36 (m), y: 4.86 (m)
Time: 2.41 (s), x: -1.30 (m), y: 4.96 (m)
Time: 2.51 (s), x: -1.26 (m), y: 5.08 (m)
Time: 2.61 (s), x: -1.24 (m), y: 5.23 (m)
Time: 2.71 (s), x: -1.25 (m), y: 5.37 (m)
Time: 2.81 (s), x: -1.27 (m), y: 5.47 (m)
Time: 2.91 (s), x: -1.30 (m), y: 5.54 (m)
Time: 3.02 (s), x: -1.33 (m), y: 5.60 (m)
Time: 3.12 (s), x: -1.35 (m), y: 5.64 (m)
Time: 3.23 (s), x: -1.36 (m), y: 5.66 (m)
Time: 3.33 (s), x: -1.37 (m), y: 5.66 (m)
Time: 3.44 (s), x: -1.37 (m), y: 5.66 (m)
Time: 3.54 (s), x: -1.36 (m), y: 5.66 (m)
Time: 3.64 (s), x: -1.37 (m), y: 5.66 (m)
Time: 3.75 (s), x: -1.38 (m), y: 5.67 (m)
Time: 3.86 (s), x: -1.40 (m), y: 5.68 (m)
Time: 3.96 (s), x: -1.42 (m), y: 5.71 (m)
Time: 4.06 (s), x: -1.45 (m), y: 5.74 (m)
Time: 4.16 (s), x: -1.48 (m), y: 5.78 (m)
