Time,X,Y,Path_Length,Collision,Start_Time,End_Time,AT
0.48,0.0,0.0,0.0,0,0,0,
0.5,0.0,0.0,0.0,0,0,0,
0.52,0.0,0.0,0.0,0,0,0,
0.54,0.0,0.0,0.0,0,0,0,
0.56,0.0,0.0,0.0,0,0,0,
0.58,0.0,0.0,0.0,0,0,0,
0.6,0.0,0.0,0.0,0,0,0,
0.62,0.0,0.0,0.0,0,0,0,
0.64,0.0,0.0,0.0,0,0,0,
0.69,0.0,0.0,0.0,0,0,0,
0.69,0.0,0.0,0.0,0,0,0,
0.73,0.0,0.0,0.0,0,0,0,
0.73,0.0,0.0,0.0,0,0,0,
0.77,-0.0,-0.0,0.0,0,0,0,
0.77,-0.0,-0.0,0.0,0,0,0,
0.82,-0.0,-0.0,0.0,0,0,0,
0.82,-0.0,-0.0,0.0,0,0,0,
0.86,-0.0,-0.0,0.0,0,0,0,
0.86,-0.0,-0.0,0.0,0,0,0,
0.91,-0.0,-0.0,0.0,0,0,0,
0.91,-0.0,-0.0,0.0,0,0,0,
0.91,-0.0,-0.0,0.0,0,0,0,
0.95,-0.0,-0.0,0.0,0,0,0,
0.95,-0.0,-0.0,0.0,0,0,0,
0.96,0.0,0.0,0.0,0,0,0,
0.98,0.0,0.0,0.0,0,0,0,
1.03,0.0,0.0,0.0,0,0,0,
1.03,0.0,0.0,0.0,0,0,0,
1.07,0.0,0.0,0.0,0,0,0,
1.07,0.0,0.0,0.0,0,0,0,
1.11,0.0,0.0,0.0,0,0,0,
1.12,0.0,0.0,0.0,0,0,0,
1.16,0.0,0.0,0.0,0,0,0,
1.16,0.0,0.0,0.0,0,0,0,
1.16,0.0,0.0,0.0,0,0,0,
1.21,0.0,0.0,0.0,0,0,0,
1.21,0.0,0.0,0.0,0,0,0,
1.22,0.0,0.0,0.0,0,0,0,
1.24,0.0,0.0,0.0,0,0,0,
1.29,0.0,0.0,0.0,0,0,0,
1.29,0.0,0.0,0.0,0,0,0,
1.33,0.0,0.0,0.0,0,0,0,
1.33,0.0,0.0,0.0,0,0,0,
1.37,0.0,0.0,0.0,0,0,0,
1.37,0.0,0.0,0.0,0,0,0,
1.42,0.0,0.0,0.0,0,0,0,
1.42,0.0,0.0,0.0,0,0,0,
