🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_teb_w66.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_66.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.12 (m)
Time: 0.11 (s), x: -2.25 (m), y: 3.21 (m)
Time: 0.22 (s), x: -2.26 (m), y: 3.32 (m)
Time: 0.33 (s), x: -2.26 (m), y: 3.42 (m)
Time: 0.43 (s), x: -2.27 (m), y: 3.55 (m)
Time: 0.54 (s), x: -2.28 (m), y: 3.67 (m)
Time: 0.64 (s), x: -2.31 (m), y: 3.81 (m)
Time: 0.75 (s), x: -2.34 (m), y: 3.97 (m)
Time: 0.85 (s), x: -2.39 (m), y: 4.12 (m)
Time: 0.96 (s), x: -2.45 (m), y: 4.25 (m)
Time: 1.06 (s), x: -2.50 (m), y: 4.34 (m)
Time: 1.16 (s), x: -2.56 (m), y: 4.42 (m)
Time: 1.27 (s), x: -2.63 (m), y: 4.52 (m)
Time: 1.38 (s), x: -2.69 (m), y: 4.60 (m)
Time: 1.49 (s), x: -2.74 (m), y: 4.67 (m)
Time: 1.59 (s), x: -2.79 (m), y: 4.74 (m)
Time: 1.69 (s), x: -2.84 (m), y: 4.81 (m)
Time: 1.79 (s), x: -2.89 (m), y: 4.88 (m)
Time: 1.90 (s), x: -2.93 (m), y: 4.95 (m)
Time: 2.00 (s), x: -2.97 (m), y: 5.02 (m)
Time: 2.11 (s), x: -2.99 (m), y: 5.11 (m)
Time: 2.22 (s), x: -3.01 (m), y: 5.18 (m)
Time: 2.32 (s), x: -3.01 (m), y: 5.24 (m)
Time: 2.42 (s), x: -3.00 (m), y: 5.28 (m)
Time: 2.52 (s), x: -2.99 (m), y: 5.31 (m)
Time: 2.63 (s), x: -3.00 (m), y: 5.32 (m)
Time: 2.73 (s), x: -3.01 (m), y: 5.32 (m)
Time: 2.83 (s), x: -3.02 (m), y: 5.30 (m)
Time: 2.94 (s), x: -3.03 (m), y: 5.28 (m)
Time: 3.04 (s), x: -3.05 (m), y: 5.27 (m)
Time: 3.15 (s), x: -3.06 (m), y: 5.25 (m)
Time: 3.26 (s), x: -3.06 (m), y: 5.24 (m)
Time: 3.36 (s), x: -3.07 (m), y: 5.23 (m)
Time: 3.46 (s), x: -3.07 (m), y: 5.22 (m)
Time: 3.57 (s), x: -3.08 (m), y: 5.22 (m)
Time: 3.67 (s), x: -3.10 (m), y: 5.21 (m)
Time: 3.78 (s), x: -3.13 (m), y: 5.21 (m)
Time: 3.89 (s), x: -3.15 (m), y: 5.21 (m)
Time: 3.99 (s), x: -3.17 (m), y: 5.21 (m)
Time: 4.09 (s), x: -3.16 (m), y: 5.21 (m)
Time: 4.20 (s), x: -3.13 (m), y: 5.23 (m)
Time: 4.31 (s), x: -3.08 (m), y: 5.26 (m)
Time: 4.41 (s), x: -3.00 (m), y: 5.31 (m)
Time: 4.51 (s), x: -2.94 (m), y: 5.34 (m)
Time: 4.61 (s), x: -2.89 (m), y: 5.37 (m)
Time: 4.71 (s), x: -2.85 (m), y: 5.39 (m)
Time: 4.81 (s), x: -2.80 (m), y: 5.42 (m)
Time: 4.92 (s), x: -2.75 (m), y: 5.46 (m)
Time: 5.02 (s), x: -2.70 (m), y: 5.50 (m)
Time: 5.12 (s), x: -2.66 (m), y: 5.54 (m)
Time: 5.23 (s), x: -2.64 (m), y: 5.56 (m)
Time: 5.33 (s), x: -2.63 (m), y: 5.56 (m)
Time: 5.43 (s), x: -2.63 (m), y: 5.56 (m)
Time: 5.53 (s), x: -2.63 (m), y: 5.56 (m)
Time: 5.64 (s), x: -2.64 (m), y: 5.54 (m)
Time: 5.74 (s), x: -2.65 (m), y: 5.52 (m)
Time: 5.85 (s), x: -2.67 (m), y: 5.51 (m)
Time: 5.96 (s), x: -2.68 (m), y: 5.50 (m)
