🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_teb_w23.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_23.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.21 (m)
Time: 0.22 (s), x: -2.25 (m), y: 3.36 (m)
Time: 0.32 (s), x: -2.25 (m), y: 3.51 (m)
Time: 0.43 (s), x: -2.25 (m), y: 3.66 (m)
Time: 0.53 (s), x: -2.25 (m), y: 3.82 (m)
Time: 0.64 (s), x: -2.22 (m), y: 3.98 (m)
Time: 0.75 (s), x: -2.19 (m), y: 4.13 (m)
Time: 0.85 (s), x: -2.13 (m), y: 4.27 (m)
Time: 0.95 (s), x: -2.07 (m), y: 4.41 (m)
Time: 1.05 (s), x: -2.00 (m), y: 4.55 (m)
Time: 1.16 (s), x: -1.92 (m), y: 4.68 (m)
Time: 1.27 (s), x: -1.85 (m), y: 4.82 (m)
Time: 1.37 (s), x: -1.78 (m), y: 4.96 (m)
Time: 1.47 (s), x: -1.73 (m), y: 5.12 (m)
Time: 1.58 (s), x: -1.70 (m), y: 5.26 (m)
Time: 1.68 (s), x: -1.69 (m), y: 5.39 (m)
Time: 1.78 (s), x: -1.70 (m), y: 5.48 (m)
Time: 1.89 (s), x: -1.71 (m), y: 5.52 (m)
Time: 1.99 (s), x: -1.70 (m), y: 5.54 (m)
Time: 2.10 (s), x: -1.70 (m), y: 5.56 (m)
Time: 2.21 (s), x: -1.68 (m), y: 5.58 (m)
Time: 2.31 (s), x: -1.67 (m), y: 5.58 (m)
Time: 2.41 (s), x: -1.69 (m), y: 5.59 (m)
Time: 2.52 (s), x: -1.73 (m), y: 5.60 (m)
Time: 2.63 (s), x: -1.77 (m), y: 5.61 (m)
Time: 2.73 (s), x: -1.81 (m), y: 5.62 (m)
Time: 2.84 (s), x: -1.83 (m), y: 5.62 (m)
Time: 2.94 (s), x: -1.84 (m), y: 5.62 (m)
Time: 3.04 (s), x: -1.83 (m), y: 5.62 (m)
Time: 3.14 (s), x: -1.83 (m), y: 5.62 (m)
Time: 3.25 (s), x: -1.83 (m), y: 5.60 (m)
Time: 3.35 (s), x: -1.82 (m), y: 5.57 (m)
Time: 3.46 (s), x: -1.81 (m), y: 5.54 (m)
Time: 3.56 (s), x: -1.81 (m), y: 5.51 (m)
Time: 3.67 (s), x: -1.82 (m), y: 5.48 (m)
Time: 3.78 (s), x: -1.82 (m), y: 5.44 (m)
Time: 3.88 (s), x: -1.82 (m), y: 5.42 (m)
Time: 3.99 (s), x: -1.83 (m), y: 5.45 (m)
Time: 4.10 (s), x: -1.84 (m), y: 5.49 (m)
Time: 4.20 (s), x: -1.86 (m), y: 5.56 (m)
Time: 4.31 (s), x: -1.88 (m), y: 5.65 (m)
Time: 4.41 (s), x: -1.90 (m), y: 5.75 (m)
Time: 4.52 (s), x: -1.91 (m), y: 5.86 (m)
Time: 4.62 (s), x: -1.93 (m), y: 6.01 (m)
Time: 4.72 (s), x: -1.94 (m), y: 6.16 (m)
Time: 4.83 (s), x: -1.96 (m), y: 6.32 (m)
Time: 4.94 (s), x: -2.00 (m), y: 6.47 (m)
