🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_fastdwa_w54.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_54.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.01 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.02 (m), y: 3.15 (m)
Time: 0.22 (s), x: -2.03 (m), y: 3.19 (m)
Time: 0.32 (s), x: -2.04 (m), y: 3.23 (m)
Time: 0.43 (s), x: -2.05 (m), y: 3.29 (m)
Time: 0.54 (s), x: -2.08 (m), y: 3.37 (m)
Time: 0.64 (s), x: -2.10 (m), y: 3.44 (m)
Time: 0.74 (s), x: -2.13 (m), y: 3.53 (m)
Time: 0.84 (s), x: -2.16 (m), y: 3.61 (m)
Time: 0.95 (s), x: -2.20 (m), y: 3.71 (m)
Time: 1.05 (s), x: -2.26 (m), y: 3.79 (m)
Time: 1.16 (s), x: -2.34 (m), y: 3.86 (m)
Time: 1.27 (s), x: -2.44 (m), y: 3.91 (m)
Time: 1.38 (s), x: -2.54 (m), y: 3.94 (m)
Time: 1.48 (s), x: -2.64 (m), y: 3.95 (m)
Time: 1.59 (s), x: -2.75 (m), y: 3.94 (m)
Time: 1.69 (s), x: -2.86 (m), y: 3.92 (m)
Time: 1.80 (s), x: -2.95 (m), y: 3.90 (m)
Time: 1.90 (s), x: -3.05 (m), y: 3.85 (m)
Time: 2.01 (s), x: -3.14 (m), y: 3.80 (m)
Time: 2.11 (s), x: -3.22 (m), y: 3.75 (m)
Time: 2.22 (s), x: -3.29 (m), y: 3.69 (m)
Time: 2.32 (s), x: -3.35 (m), y: 3.63 (m)
Time: 2.43 (s), x: -3.42 (m), y: 3.57 (m)
Time: 2.53 (s), x: -3.48 (m), y: 3.50 (m)
Time: 2.64 (s), x: -3.53 (m), y: 3.44 (m)
Time: 2.74 (s), x: -3.58 (m), y: 3.36 (m)
Time: 2.84 (s), x: -3.62 (m), y: 3.27 (m)
Time: 2.95 (s), x: -3.65 (m), y: 3.22 (m)
Time: 3.05 (s), x: -3.67 (m), y: 3.18 (m)
Time: 3.16 (s), x: -3.69 (m), y: 3.13 (m)
Time: 3.26 (s), x: -3.71 (m), y: 3.08 (m)
Time: 3.36 (s), x: -3.73 (m), y: 3.01 (m)
Time: 3.46 (s), x: -3.74 (m), y: 2.93 (m)
Time: 3.57 (s), x: -3.76 (m), y: 2.87 (m)
Time: 3.68 (s), x: -3.77 (m), y: 2.78 (m)
Time: 3.78 (s), x: -3.79 (m), y: 2.69 (m)
Time: 3.89 (s), x: -3.82 (m), y: 2.58 (m)
Time: 4.00 (s), x: -3.84 (m), y: 2.47 (m)
Time: 4.10 (s), x: -3.86 (m), y: 2.40 (m)
Time: 4.20 (s), x: -3.87 (m), y: 2.37 (m)
Time: 4.31 (s), x: -3.87 (m), y: 2.35 (m)
Time: 4.41 (s), x: -3.86 (m), y: 2.35 (m)
Time: 4.52 (s), x: -3.86 (m), y: 2.34 (m)
Time: 4.62 (s), x: -3.86 (m), y: 2.33 (m)
Time: 4.72 (s), x: -3.84 (m), y: 2.33 (m)
Time: 4.83 (s), x: -3.82 (m), y: 2.32 (m)
Time: 4.94 (s), x: -3.80 (m), y: 2.30 (m)
Time: 5.04 (s), x: -3.78 (m), y: 2.29 (m)
Time: 5.14 (s), x: -3.77 (m), y: 2.27 (m)
Time: 5.25 (s), x: -3.77 (m), y: 2.25 (m)
Time: 5.36 (s), x: -3.78 (m), y: 2.23 (m)
Time: 5.46 (s), x: -3.80 (m), y: 2.20 (m)
Time: 5.57 (s), x: -3.83 (m), y: 2.18 (m)
