🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_eband_w6.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_6.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.11 (s), x: -2.25 (m), y: 3.15 (m)
Time: 0.22 (s), x: -2.25 (m), y: 3.20 (m)
Time: 0.32 (s), x: -2.25 (m), y: 3.25 (m)
Time: 0.42 (s), x: -2.25 (m), y: 3.30 (m)
Time: 0.53 (s), x: -2.25 (m), y: 3.34 (m)
Time: 0.63 (s), x: -2.25 (m), y: 3.39 (m)
Time: 0.73 (s), x: -2.25 (m), y: 3.44 (m)
Time: 0.84 (s), x: -2.25 (m), y: 3.49 (m)
Time: 0.94 (s), x: -2.25 (m), y: 3.54 (m)
Time: 1.04 (s), x: -2.25 (m), y: 3.58 (m)
Time: 1.15 (s), x: -2.25 (m), y: 3.63 (m)
Time: 1.25 (s), x: -2.24 (m), y: 3.68 (m)
Time: 1.36 (s), x: -2.24 (m), y: 3.73 (m)
Time: 1.46 (s), x: -2.24 (m), y: 3.78 (m)
Time: 1.57 (s), x: -2.23 (m), y: 3.83 (m)
Time: 1.67 (s), x: -2.23 (m), y: 3.88 (m)
Time: 1.78 (s), x: -2.22 (m), y: 3.93 (m)
Time: 1.89 (s), x: -2.23 (m), y: 3.98 (m)
Time: 1.99 (s), x: -2.23 (m), y: 4.02 (m)
Time: 2.10 (s), x: -2.24 (m), y: 4.07 (m)
Time: 2.20 (s), x: -2.24 (m), y: 4.13 (m)
Time: 2.31 (s), x: -2.25 (m), y: 4.17 (m)
Time: 2.41 (s), x: -2.24 (m), y: 4.22 (m)
Time: 2.52 (s), x: -2.24 (m), y: 4.27 (m)
Time: 2.62 (s), x: -2.24 (m), y: 4.32 (m)
Time: 2.73 (s), x: -2.25 (m), y: 4.38 (m)
Time: 2.83 (s), x: -2.26 (m), y: 4.44 (m)
Time: 2.93 (s), x: -2.27 (m), y: 4.50 (m)
Time: 3.04 (s), x: -2.29 (m), y: 4.55 (m)
Time: 3.14 (s), x: -2.30 (m), y: 4.60 (m)
Time: 3.25 (s), x: -2.30 (m), y: 4.65 (m)
Time: 3.35 (s), x: -2.30 (m), y: 4.70 (m)
Time: 3.46 (s), x: -2.30 (m), y: 4.74 (m)
Time: 3.56 (s), x: -2.29 (m), y: 4.79 (m)
Time: 3.67 (s), x: -2.28 (m), y: 4.82 (m)
Time: 3.77 (s), x: -2.26 (m), y: 4.86 (m)
Time: 3.87 (s), x: -2.25 (m), y: 4.90 (m)
Time: 3.98 (s), x: -2.25 (m), y: 4.95 (m)
Time: 4.08 (s), x: -2.26 (m), y: 5.00 (m)
Time: 4.19 (s), x: -2.27 (m), y: 5.05 (m)
Time: 4.29 (s), x: -2.29 (m), y: 5.09 (m)
Time: 4.39 (s), x: -2.31 (m), y: 5.15 (m)
Time: 4.50 (s), x: -2.33 (m), y: 5.21 (m)
Time: 4.60 (s), x: -2.35 (m), y: 5.26 (m)
Time: 4.71 (s), x: -2.38 (m), y: 5.32 (m)
Time: 4.81 (s), x: -2.40 (m), y: 5.37 (m)
Time: 4.91 (s), x: -2.43 (m), y: 5.42 (m)
Time: 5.02 (s), x: -2.45 (m), y: 5.47 (m)
Time: 5.12 (s), x: -2.47 (m), y: 5.52 (m)
Time: 5.22 (s), x: -2.49 (m), y: 5.57 (m)
Time: 5.33 (s), x: -2.51 (m), y: 5.61 (m)
Time: 5.43 (s), x: -2.54 (m), y: 5.65 (m)
Time: 5.54 (s), x: -2.57 (m), y: 5.69 (m)
Time: 5.64 (s), x: -2.60 (m), y: 5.73 (m)
Time: 5.75 (s), x: -2.62 (m), y: 5.77 (m)
Time: 5.85 (s), x: -2.64 (m), y: 5.81 (m)
Time: 5.95 (s), x: -2.65 (m), y: 5.85 (m)
Time: 6.05 (s), x: -2.67 (m), y: 5.89 (m)
Time: 6.16 (s), x: -2.69 (m), y: 5.94 (m)
Time: 6.27 (s), x: -2.72 (m), y: 5.98 (m)
Time: 6.37 (s), x: -2.75 (m), y: 6.02 (m)
Time: 6.47 (s), x: -2.79 (m), y: 6.06 (m)
Time: 6.58 (s), x: -2.82 (m), y: 6.11 (m)
Time: 6.69 (s), x: -2.85 (m), y: 6.15 (m)
Time: 6.80 (s), x: -2.88 (m), y: 6.18 (m)
Time: 6.91 (s), x: -2.92 (m), y: 6.22 (m)
Time: 7.02 (s), x: -2.96 (m), y: 6.25 (m)
Time: 7.12 (s), x: -2.99 (m), y: 6.29 (m)
Time: 7.23 (s), x: -3.02 (m), y: 6.33 (m)
Time: 7.33 (s), x: -3.04 (m), y: 6.38 (m)
Time: 7.44 (s), x: -3.06 (m), y: 6.44 (m)
Time: 7.54 (s), x: -3.08 (m), y: 6.50 (m)
Time: 7.65 (s), x: -3.10 (m), y: 6.56 (m)
Time: 7.76 (s), x: -3.12 (m), y: 6.62 (m)
Time: 7.87 (s), x: -3.13 (m), y: 6.68 (m)
Time: 7.97 (s), x: -3.14 (m), y: 6.73 (m)
Time: 8.07 (s), x: -3.15 (m), y: 6.78 (m)
Time: 8.18 (s), x: -3.17 (m), y: 6.83 (m)
Time: 8.29 (s), x: -3.17 (m), y: 6.87 (m)
Time: 8.40 (s), x: -3.18 (m), y: 6.89 (m)
Time: 8.50 (s), x: -3.20 (m), y: 6.90 (m)
Time: 8.61 (s), x: -3.21 (m), y: 6.90 (m)
Time: 8.71 (s), x: -3.23 (m), y: 6.90 (m)
Time: 8.82 (s), x: -3.25 (m), y: 6.90 (m)
Time: 8.92 (s), x: -3.27 (m), y: 6.91 (m)
Time: 9.03 (s), x: -3.27 (m), y: 6.93 (m)
Time: 9.13 (s), x: -3.26 (m), y: 6.96 (m)
Time: 9.23 (s), x: -3.25 (m), y: 7.00 (m)
Time: 9.34 (s), x: -3.22 (m), y: 7.03 (m)
Time: 9.45 (s), x: -3.18 (m), y: 7.07 (m)
Time: 9.55 (s), x: -3.15 (m), y: 7.10 (m)
Time: 9.65 (s), x: -3.10 (m), y: 7.14 (m)
Time: 9.76 (s), x: -3.05 (m), y: 7.18 (m)
Time: 9.87 (s), x: -3.01 (m), y: 7.23 (m)
Time: 9.97 (s), x: -2.97 (m), y: 7.26 (m)
Time: 10.08 (s), x: -2.94 (m), y: 7.29 (m)
Time: 10.18 (s), x: -2.91 (m), y: 7.31 (m)
Time: 10.29 (s), x: -2.89 (m), y: 7.33 (m)
Time: 10.39 (s), x: -2.87 (m), y: 7.34 (m)
Time: 10.50 (s), x: -2.86 (m), y: 7.37 (m)
Time: 10.60 (s), x: -2.85 (m), y: 7.42 (m)
Time: 10.71 (s), x: -2.84 (m), y: 7.47 (m)
Time: 10.81 (s), x: -2.84 (m), y: 7.52 (m)
Time: 10.92 (s), x: -2.86 (m), y: 7.56 (m)
Time: 11.03 (s), x: -2.86 (m), y: 7.62 (m)
Time: 11.13 (s), x: -2.87 (m), y: 7.67 (m)
Time: 11.23 (s), x: -2.87 (m), y: 7.73 (m)
Time: 11.34 (s), x: -2.87 (m), y: 7.79 (m)
Time: 11.45 (s), x: -2.88 (m), y: 7.83 (m)
Time: 11.55 (s), x: -2.89 (m), y: 7.88 (m)
Time: 11.65 (s), x: -2.91 (m), y: 7.93 (m)
Time: 11.75 (s), x: -2.92 (m), y: 7.97 (m)
Time: 11.85 (s), x: -2.94 (m), y: 8.02 (m)
Time: 11.96 (s), x: -2.96 (m), y: 8.08 (m)
Time: 12.07 (s), x: -2.97 (m), y: 8.12 (m)
Time: 12.17 (s), x: -2.98 (m), y: 8.17 (m)
Time: 12.28 (s), x: -2.99 (m), y: 8.22 (m)
Time: 12.39 (s), x: -3.01 (m), y: 8.26 (m)
Time: 12.49 (s), x: -3.03 (m), y: 8.31 (m)
Time: 12.60 (s), x: -3.05 (m), y: 8.35 (m)
Time: 12.71 (s), x: -3.07 (m), y: 8.39 (m)
Time: 12.81 (s), x: -3.09 (m), y: 8.43 (m)
Time: 12.91 (s), x: -3.10 (m), y: 8.48 (m)
Time: 13.02 (s), x: -3.12 (m), y: 8.52 (m)
Time: 13.12 (s), x: -3.14 (m), y: 8.57 (m)
Time: 13.23 (s), x: -3.16 (m), y: 8.62 (m)
Time: 13.34 (s), x: -3.18 (m), y: 8.65 (m)
Time: 13.44 (s), x: -3.19 (m), y: 8.68 (m)
Time: 13.55 (s), x: -3.20 (m), y: 8.70 (m)
Time: 13.66 (s), x: -3.22 (m), y: 8.72 (m)
Time: 13.77 (s), x: -3.24 (m), y: 8.77 (m)
Time: 13.87 (s), x: -3.25 (m), y: 8.80 (m)
Time: 13.98 (s), x: -3.27 (m), y: 8.84 (m)
Time: 14.09 (s), x: -3.27 (m), y: 8.89 (m)
Time: 14.19 (s), x: -3.27 (m), y: 8.95 (m)
Time: 14.30 (s), x: -3.28 (m), y: 9.01 (m)
Time: 14.40 (s), x: -3.28 (m), y: 9.07 (m)
Time: 14.51 (s), x: -3.28 (m), y: 9.13 (m)
Time: 14.62 (s), x: -3.27 (m), y: 9.18 (m)
Time: 14.72 (s), x: -3.27 (m), y: 9.23 (m)
Time: 14.83 (s), x: -3.26 (m), y: 9.27 (m)
Time: 14.94 (s), x: -3.25 (m), y: 9.32 (m)
Time: 15.04 (s), x: -3.24 (m), y: 9.37 (m)
Time: 15.14 (s), x: -3.23 (m), y: 9.42 (m)
Time: 15.24 (s), x: -3.22 (m), y: 9.46 (m)
Time: 15.35 (s), x: -3.21 (m), y: 9.51 (m)
Time: 15.45 (s), x: -3.20 (m), y: 9.56 (m)
Time: 15.56 (s), x: -3.19 (m), y: 9.61 (m)
Time: 15.66 (s), x: -3.18 (m), y: 9.65 (m)
Time: 15.77 (s), x: -3.17 (m), y: 9.71 (m)
Time: 15.88 (s), x: -3.16 (m), y: 9.76 (m)
Time: 15.99 (s), x: -3.15 (m), y: 9.80 (m)
Time: 16.09 (s), x: -3.14 (m), y: 9.85 (m)
Time: 16.19 (s), x: -3.13 (m), y: 9.90 (m)
Time: 16.29 (s), x: -3.12 (m), y: 9.94 (m)
Time: 16.40 (s), x: -3.11 (m), y: 9.99 (m)
Time: 16.50 (s), x: -3.10 (m), y: 10.04 (m)
Time: 16.60 (s), x: -3.09 (m), y: 10.09 (m)
Time: 16.71 (s), x: -3.08 (m), y: 10.14 (m)
Time: 16.81 (s), x: -3.07 (m), y: 10.18 (m)
Time: 16.92 (s), x: -3.06 (m), y: 10.23 (m)
Time: 17.02 (s), x: -3.05 (m), y: 10.27 (m)
Time: 17.13 (s), x: -3.04 (m), y: 10.32 (m)
Time: 17.24 (s), x: -3.03 (m), y: 10.37 (m)
Time: 17.34 (s), x: -3.02 (m), y: 10.42 (m)
Time: 17.44 (s), x: -3.01 (m), y: 10.47 (m)
Time: 17.55 (s), x: -3.00 (m), y: 10.51 (m)
Time: 17.65 (s), x: -2.99 (m), y: 10.56 (m)
Time: 17.75 (s), x: -2.98 (m), y: 10.60 (m)
Time: 17.85 (s), x: -2.97 (m), y: 10.65 (m)
Time: 17.96 (s), x: -2.96 (m), y: 10.70 (m)
Time: 18.06 (s), x: -2.95 (m), y: 10.74 (m)
Time: 18.16 (s), x: -2.94 (m), y: 10.79 (m)
Time: 18.27 (s), x: -2.93 (m), y: 10.84 (m)
Time: 18.37 (s), x: -2.92 (m), y: 10.88 (m)
Time: 18.48 (s), x: -2.91 (m), y: 10.93 (m)
Time: 18.58 (s), x: -2.90 (m), y: 10.98 (m)
Time: 18.69 (s), x: -2.89 (m), y: 11.03 (m)
Time: 18.79 (s), x: -2.88 (m), y: 11.07 (m)
Time: 18.89 (s), x: -2.87 (m), y: 11.12 (m)
