🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_dwa_w95.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_95.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.10 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.16 (m)
Time: 0.22 (s), x: -2.25 (m), y: 3.23 (m)
Time: 0.33 (s), x: -2.25 (m), y: 3.31 (m)
Time: 0.44 (s), x: -2.25 (m), y: 3.41 (m)
Time: 0.54 (s), x: -2.25 (m), y: 3.51 (m)
Time: 0.65 (s), x: -2.25 (m), y: 3.61 (m)
Time: 0.75 (s), x: -2.26 (m), y: 3.69 (m)
Time: 0.85 (s), x: -2.26 (m), y: 3.78 (m)
Time: 0.95 (s), x: -2.26 (m), y: 3.85 (m)
Time: 1.06 (s), x: -2.27 (m), y: 3.92 (m)
Time: 1.17 (s), x: -2.27 (m), y: 4.00 (m)
Time: 1.27 (s), x: -2.28 (m), y: 4.06 (m)
Time: 1.37 (s), x: -2.29 (m), y: 4.12 (m)
Time: 1.48 (s), x: -2.29 (m), y: 4.18 (m)
Time: 1.58 (s), x: -2.30 (m), y: 4.23 (m)
Time: 1.69 (s), x: -2.30 (m), y: 4.28 (m)
Time: 1.79 (s), x: -2.31 (m), y: 4.33 (m)
Time: 1.90 (s), x: -2.32 (m), y: 4.37 (m)
Time: 2.01 (s), x: -2.32 (m), y: 4.42 (m)
Time: 2.11 (s), x: -2.33 (m), y: 4.46 (m)
Time: 2.22 (s), x: -2.34 (m), y: 4.50 (m)
Time: 2.33 (s), x: -2.34 (m), y: 4.53 (m)
Time: 2.43 (s), x: -2.35 (m), y: 4.57 (m)
Time: 2.54 (s), x: -2.35 (m), y: 4.60 (m)
Time: 2.64 (s), x: -2.36 (m), y: 4.63 (m)
Time: 2.75 (s), x: -2.36 (m), y: 4.66 (m)
Time: 2.86 (s), x: -2.37 (m), y: 4.69 (m)
Time: 2.96 (s), x: -2.37 (m), y: 4.71 (m)
Time: 3.07 (s), x: -2.38 (m), y: 4.74 (m)
Time: 3.18 (s), x: -2.38 (m), y: 4.76 (m)
Time: 3.29 (s), x: -2.39 (m), y: 4.78 (m)
Time: 3.40 (s), x: -2.39 (m), y: 4.80 (m)
Time: 3.50 (s), x: -2.39 (m), y: 4.82 (m)
Time: 3.60 (s), x: -2.40 (m), y: 4.84 (m)
Time: 3.71 (s), x: -2.40 (m), y: 4.86 (m)
Time: 3.82 (s), x: -2.40 (m), y: 4.87 (m)
Time: 3.92 (s), x: -2.41 (m), y: 4.89 (m)
Time: 4.02 (s), x: -2.41 (m), y: 4.90 (m)
Time: 4.13 (s), x: -2.41 (m), y: 4.92 (m)
Time: 4.23 (s), x: -2.42 (m), y: 4.93 (m)
Time: 4.34 (s), x: -2.42 (m), y: 4.96 (m)
Time: 4.45 (s), x: -2.43 (m), y: 5.00 (m)
Time: 4.55 (s), x: -2.44 (m), y: 5.04 (m)
Time: 4.66 (s), x: -2.45 (m), y: 5.09 (m)
Time: 4.76 (s), x: -2.46 (m), y: 5.15 (m)
Time: 4.86 (s), x: -2.47 (m), y: 5.22 (m)
Time: 4.97 (s), x: -2.48 (m), y: 5.29 (m)
Time: 5.07 (s), x: -2.49 (m), y: 5.34 (m)
Time: 5.18 (s), x: -2.50 (m), y: 5.39 (m)
Time: 5.28 (s), x: -2.51 (m), y: 5.44 (m)
Time: 5.39 (s), x: -2.52 (m), y: 5.49 (m)
Time: 5.49 (s), x: -2.52 (m), y: 5.54 (m)
Time: 5.60 (s), x: -2.53 (m), y: 5.59 (m)
Time: 5.70 (s), x: -2.53 (m), y: 5.63 (m)
Time: 5.81 (s), x: -2.54 (m), y: 5.67 (m)
Time: 5.91 (s), x: -2.54 (m), y: 5.70 (m)
Time: 6.01 (s), x: -2.55 (m), y: 5.73 (m)
Time: 6.11 (s), x: -2.55 (m), y: 5.77 (m)
Time: 6.21 (s), x: -2.55 (m), y: 5.80 (m)
Time: 6.32 (s), x: -2.55 (m), y: 5.83 (m)
Time: 6.42 (s), x: -2.56 (m), y: 5.87 (m)
Time: 6.52 (s), x: -2.56 (m), y: 5.91 (m)
Time: 6.63 (s), x: -2.56 (m), y: 5.94 (m)
Time: 6.73 (s), x: -2.56 (m), y: 5.97 (m)
Time: 6.83 (s), x: -2.57 (m), y: 6.00 (m)
Time: 6.94 (s), x: -2.57 (m), y: 6.03 (m)
Time: 7.04 (s), x: -2.57 (m), y: 6.06 (m)
Time: 7.14 (s), x: -2.57 (m), y: 6.08 (m)
Time: 7.24 (s), x: -2.57 (m), y: 6.10 (m)
Time: 7.35 (s), x: -2.57 (m), y: 6.14 (m)
Time: 7.46 (s), x: -2.57 (m), y: 6.16 (m)
Time: 7.56 (s), x: -2.57 (m), y: 6.17 (m)
Time: 7.67 (s), x: -2.57 (m), y: 6.18 (m)
Time: 7.77 (s), x: -2.57 (m), y: 6.21 (m)
Time: 7.88 (s), x: -2.57 (m), y: 6.23 (m)
Time: 7.99 (s), x: -2.57 (m), y: 6.25 (m)
Time: 8.10 (s), x: -2.57 (m), y: 6.27 (m)
Time: 8.20 (s), x: -2.57 (m), y: 6.29 (m)
Time: 8.31 (s), x: -2.58 (m), y: 6.33 (m)
Time: 8.41 (s), x: -2.58 (m), y: 6.39 (m)
Time: 8.52 (s), x: -2.58 (m), y: 6.46 (m)
Time: 8.63 (s), x: -2.58 (m), y: 6.54 (m)
Time: 8.73 (s), x: -2.58 (m), y: 6.63 (m)
Time: 8.84 (s), x: -2.58 (m), y: 6.73 (m)
Time: 8.94 (s), x: -2.58 (m), y: 6.82 (m)
Time: 9.05 (s), x: -2.58 (m), y: 6.91 (m)
Time: 9.15 (s), x: -2.58 (m), y: 6.99 (m)
Time: 9.25 (s), x: -2.58 (m), y: 7.06 (m)
Time: 9.36 (s), x: -2.57 (m), y: 7.14 (m)
Time: 9.47 (s), x: -2.57 (m), y: 7.23 (m)
Time: 9.57 (s), x: -2.57 (m), y: 7.33 (m)
Time: 9.68 (s), x: -2.57 (m), y: 7.44 (m)
Time: 9.79 (s), x: -2.56 (m), y: 7.54 (m)
Time: 9.90 (s), x: -2.56 (m), y: 7.65 (m)
Time: 10.00 (s), x: -2.55 (m), y: 7.72 (m)
Time: 10.11 (s), x: -2.56 (m), y: 7.77 (m)
Time: 10.22 (s), x: -2.55 (m), y: 7.80 (m)
Time: 10.32 (s), x: -2.54 (m), y: 7.84 (m)
Time: 10.42 (s), x: -2.53 (m), y: 7.89 (m)
Time: 10.53 (s), x: -2.51 (m), y: 7.96 (m)
Time: 10.63 (s), x: -2.50 (m), y: 8.03 (m)
Time: 10.74 (s), x: -2.47 (m), y: 8.13 (m)
Time: 10.84 (s), x: -2.45 (m), y: 8.22 (m)
Time: 10.95 (s), x: -2.43 (m), y: 8.32 (m)
Time: 11.05 (s), x: -2.41 (m), y: 8.42 (m)
Time: 11.15 (s), x: -2.38 (m), y: 8.52 (m)
Time: 11.25 (s), x: -2.36 (m), y: 8.62 (m)
Time: 11.36 (s), x: -2.34 (m), y: 8.73 (m)
Time: 11.47 (s), x: -2.32 (m), y: 8.83 (m)
Time: 11.57 (s), x: -2.30 (m), y: 8.93 (m)
Time: 11.67 (s), x: -2.29 (m), y: 9.03 (m)
Time: 11.77 (s), x: -2.27 (m), y: 9.14 (m)
Time: 11.88 (s), x: -2.26 (m), y: 9.24 (m)
Time: 11.99 (s), x: -2.24 (m), y: 9.35 (m)
Time: 12.09 (s), x: -2.23 (m), y: 9.44 (m)
Time: 12.20 (s), x: -2.22 (m), y: 9.54 (m)
Time: 12.30 (s), x: -2.21 (m), y: 9.64 (m)
Time: 12.40 (s), x: -2.20 (m), y: 9.74 (m)
Time: 12.51 (s), x: -2.19 (m), y: 9.86 (m)
Time: 12.61 (s), x: -2.19 (m), y: 9.96 (m)
Time: 12.72 (s), x: -2.18 (m), y: 10.06 (m)
Time: 12.82 (s), x: -2.17 (m), y: 10.16 (m)
