🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_e2e_w82.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_82.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.00 (m), y: 3.11 (m)
Time: 0.11 (s), x: -2.00 (m), y: 3.22 (m)
Time: 0.22 (s), x: -2.00 (m), y: 3.35 (m)
Time: 0.33 (s), x: -2.00 (m), y: 3.48 (m)
Time: 0.43 (s), x: -2.01 (m), y: 3.61 (m)
Time: 0.53 (s), x: -2.03 (m), y: 3.76 (m)
Time: 0.64 (s), x: -2.07 (m), y: 3.93 (m)
Time: 0.74 (s), x: -2.17 (m), y: 4.09 (m)
Time: 0.85 (s), x: -2.30 (m), y: 4.24 (m)
Time: 0.95 (s), x: -2.45 (m), y: 4.35 (m)
Time: 1.05 (s), x: -2.58 (m), y: 4.43 (m)
Time: 1.17 (s), x: -2.65 (m), y: 4.44 (m)
Time: 1.27 (s), x: -2.70 (m), y: 4.44 (m)
Time: 1.38 (s), x: -2.70 (m), y: 4.45 (m)
Time: 1.49 (s), x: -2.64 (m), y: 4.45 (m)
Time: 1.60 (s), x: -2.57 (m), y: 4.45 (m)
Time: 1.71 (s), x: -2.50 (m), y: 4.44 (m)
Time: 1.82 (s), x: -2.43 (m), y: 4.43 (m)
Time: 1.92 (s), x: -2.36 (m), y: 4.40 (m)
Time: 2.03 (s), x: -2.31 (m), y: 4.39 (m)
Time: 2.13 (s), x: -2.29 (m), y: 4.40 (m)
Time: 2.24 (s), x: -2.28 (m), y: 4.43 (m)
Time: 2.34 (s), x: -2.29 (m), y: 4.49 (m)
Time: 2.44 (s), x: -2.32 (m), y: 4.58 (m)
Time: 2.54 (s), x: -2.36 (m), y: 4.70 (m)
Time: 2.65 (s), x: -2.41 (m), y: 4.85 (m)
Time: 2.75 (s), x: -2.47 (m), y: 5.05 (m)
Time: 2.85 (s), x: -2.52 (m), y: 5.22 (m)
Time: 2.96 (s), x: -2.59 (m), y: 5.41 (m)
Time: 3.07 (s), x: -2.71 (m), y: 5.62 (m)
Time: 3.17 (s), x: -2.79 (m), y: 5.73 (m)
Time: 3.27 (s), x: -2.90 (m), y: 5.88 (m)
Time: 3.38 (s), x: -2.99 (m), y: 6.07 (m)
Time: 3.49 (s), x: -3.04 (m), y: 6.26 (m)
Time: 3.60 (s), x: -3.06 (m), y: 6.44 (m)
Time: 3.70 (s), x: -3.05 (m), y: 6.60 (m)
Time: 3.81 (s), x: -3.02 (m), y: 6.72 (m)
Time: 3.91 (s), x: -2.99 (m), y: 6.79 (m)
Time: 4.01 (s), x: -2.97 (m), y: 6.84 (m)
Time: 4.11 (s), x: -2.96 (m), y: 6.86 (m)
Time: 4.22 (s), x: -2.97 (m), y: 6.85 (m)
Time: 4.32 (s), x: -2.99 (m), y: 6.80 (m)
Time: 4.43 (s), x: -3.03 (m), y: 6.72 (m)
Time: 4.54 (s), x: -3.07 (m), y: 6.63 (m)
Time: 4.64 (s), x: -3.11 (m), y: 6.53 (m)
Time: 4.74 (s), x: -3.14 (m), y: 6.44 (m)
Time: 4.84 (s), x: -3.17 (m), y: 6.34 (m)
Time: 4.95 (s), x: -3.20 (m), y: 6.22 (m)
Time: 5.05 (s), x: -3.21 (m), y: 6.13 (m)
Time: 5.16 (s), x: -3.21 (m), y: 6.03 (m)
Time: 5.27 (s), x: -3.21 (m), y: 5.93 (m)
Time: 5.37 (s), x: -3.21 (m), y: 5.88 (m)
>>>>>>>>>>>>>>>>>> Test finished! <<<<<<<<<<<<<<<<<<
Navigation collided with time 5.3680 (s)
Navigation metric: 0.0000
