🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_sac_w135.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_135.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.16 (m)
Time: 0.23 (s), x: -2.25 (m), y: 3.22 (m)
Time: 0.34 (s), x: -2.25 (m), y: 3.27 (m)
Time: 0.44 (s), x: -2.25 (m), y: 3.32 (m)
Time: 0.55 (s), x: -2.25 (m), y: 3.38 (m)
Time: 0.66 (s), x: -2.24 (m), y: 3.44 (m)
Time: 0.77 (s), x: -2.24 (m), y: 3.49 (m)
Time: 0.88 (s), x: -2.24 (m), y: 3.54 (m)
Time: 0.98 (s), x: -2.25 (m), y: 3.60 (m)
Time: 1.09 (s), x: -2.25 (m), y: 3.65 (m)
Time: 1.20 (s), x: -2.25 (m), y: 3.71 (m)
Time: 1.31 (s), x: -2.26 (m), y: 3.76 (m)
Time: 1.42 (s), x: -2.27 (m), y: 3.82 (m)
Time: 1.52 (s), x: -2.28 (m), y: 3.87 (m)
Time: 1.63 (s), x: -2.29 (m), y: 3.92 (m)
Time: 1.74 (s), x: -2.30 (m), y: 3.98 (m)
Time: 1.85 (s), x: -2.31 (m), y: 4.03 (m)
Time: 1.96 (s), x: -2.32 (m), y: 4.08 (m)
Time: 2.06 (s), x: -2.33 (m), y: 4.13 (m)
Time: 2.17 (s), x: -2.35 (m), y: 4.17 (m)
Time: 2.28 (s), x: -2.36 (m), y: 4.21 (m)
Time: 2.38 (s), x: -2.38 (m), y: 4.26 (m)
Time: 2.48 (s), x: -2.39 (m), y: 4.32 (m)
Time: 2.59 (s), x: -2.39 (m), y: 4.37 (m)
Time: 2.70 (s), x: -2.39 (m), y: 4.42 (m)
Time: 2.80 (s), x: -2.39 (m), y: 4.48 (m)
Time: 2.91 (s), x: -2.39 (m), y: 4.53 (m)
Time: 3.02 (s), x: -2.38 (m), y: 4.59 (m)
Time: 3.13 (s), x: -2.37 (m), y: 4.63 (m)
Time: 3.24 (s), x: -2.35 (m), y: 4.69 (m)
Time: 3.34 (s), x: -2.33 (m), y: 4.74 (m)
Time: 3.45 (s), x: -2.31 (m), y: 4.80 (m)
Time: 3.56 (s), x: -2.28 (m), y: 4.84 (m)
Time: 3.66 (s), x: -2.26 (m), y: 4.88 (m)
Time: 3.77 (s), x: -2.24 (m), y: 4.92 (m)
Time: 3.88 (s), x: -2.22 (m), y: 4.96 (m)
Time: 3.99 (s), x: -2.20 (m), y: 4.99 (m)
Time: 4.09 (s), x: -2.18 (m), y: 5.02 (m)
Time: 4.20 (s), x: -2.15 (m), y: 5.05 (m)
Time: 4.31 (s), x: -2.13 (m), y: 5.08 (m)
Time: 4.42 (s), x: -2.11 (m), y: 5.11 (m)
Time: 4.52 (s), x: -2.08 (m), y: 5.13 (m)
Time: 4.63 (s), x: -2.06 (m), y: 5.16 (m)
Time: 4.74 (s), x: -2.04 (m), y: 5.18 (m)
Time: 4.85 (s), x: -2.03 (m), y: 5.19 (m)
Time: 4.96 (s), x: -2.01 (m), y: 5.21 (m)
Time: 5.07 (s), x: -1.99 (m), y: 5.23 (m)
Time: 5.18 (s), x: -1.98 (m), y: 5.24 (m)
Time: 5.28 (s), x: -1.96 (m), y: 5.25 (m)
Time: 5.39 (s), x: -1.94 (m), y: 5.26 (m)
Time: 5.50 (s), x: -1.93 (m), y: 5.27 (m)
Time: 5.61 (s), x: -1.91 (m), y: 5.28 (m)
Time: 5.72 (s), x: -1.88 (m), y: 5.30 (m)
Time: 5.82 (s), x: -1.86 (m), y: 5.31 (m)
Time: 5.93 (s), x: -1.83 (m), y: 5.33 (m)
Time: 6.04 (s), x: -1.79 (m), y: 5.36 (m)
Time: 6.15 (s), x: -1.76 (m), y: 5.38 (m)
Time: 6.26 (s), x: -1.71 (m), y: 5.41 (m)
Time: 6.36 (s), x: -1.66 (m), y: 5.45 (m)
Time: 6.47 (s), x: -1.61 (m), y: 5.48 (m)
Time: 6.58 (s), x: -1.57 (m), y: 5.51 (m)
Time: 6.69 (s), x: -1.53 (m), y: 5.54 (m)
Time: 6.80 (s), x: -1.49 (m), y: 5.58 (m)
Time: 6.90 (s), x: -1.45 (m), y: 5.62 (m)
Time: 7.00 (s), x: -1.42 (m), y: 5.66 (m)
Time: 7.11 (s), x: -1.39 (m), y: 5.71 (m)
Time: 7.22 (s), x: -1.36 (m), y: 5.76 (m)
Time: 7.33 (s), x: -1.34 (m), y: 5.81 (m)
Time: 7.44 (s), x: -1.33 (m), y: 5.83 (m)
Time: 7.55 (s), x: -1.32 (m), y: 5.86 (m)
Time: 7.66 (s), x: -1.32 (m), y: 5.87 (m)
Time: 7.76 (s), x: -1.31 (m), y: 5.91 (m)
Time: 7.87 (s), x: -1.29 (m), y: 5.95 (m)
Time: 7.97 (s), x: -1.28 (m), y: 5.98 (m)
Time: 8.08 (s), x: -1.27 (m), y: 6.02 (m)
Time: 8.19 (s), x: -1.25 (m), y: 6.07 (m)
Time: 8.30 (s), x: -1.23 (m), y: 6.12 (m)
Time: 8.41 (s), x: -1.22 (m), y: 6.16 (m)
Time: 8.51 (s), x: -1.20 (m), y: 6.20 (m)
Time: 8.61 (s), x: -1.19 (m), y: 6.25 (m)
Time: 8.72 (s), x: -1.16 (m), y: 6.30 (m)
Time: 8.83 (s), x: -1.15 (m), y: 6.35 (m)
Time: 8.94 (s), x: -1.14 (m), y: 6.41 (m)
Time: 9.05 (s), x: -1.13 (m), y: 6.46 (m)
Time: 9.16 (s), x: -1.12 (m), y: 6.52 (m)
Time: 9.27 (s), x: -1.12 (m), y: 6.57 (m)
Time: 9.38 (s), x: -1.12 (m), y: 6.62 (m)
Time: 9.48 (s), x: -1.13 (m), y: 6.67 (m)
Time: 9.58 (s), x: -1.14 (m), y: 6.72 (m)
Time: 9.69 (s), x: -1.15 (m), y: 6.78 (m)
Time: 9.80 (s), x: -1.17 (m), y: 6.84 (m)
Time: 9.91 (s), x: -1.18 (m), y: 6.90 (m)
Time: 10.02 (s), x: -1.20 (m), y: 6.94 (m)
Time: 10.13 (s), x: -1.21 (m), y: 7.00 (m)
Time: 10.24 (s), x: -1.23 (m), y: 7.05 (m)
Time: 10.34 (s), x: -1.25 (m), y: 7.10 (m)
Time: 10.44 (s), x: -1.27 (m), y: 7.14 (m)
Time: 10.55 (s), x: -1.30 (m), y: 7.19 (m)
Time: 10.65 (s), x: -1.33 (m), y: 7.23 (m)
Time: 10.76 (s), x: -1.36 (m), y: 7.28 (m)
Time: 10.87 (s), x: -1.37 (m), y: 7.30 (m)
