🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_teb_w283.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_283.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.12 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.23 (m)
Time: 0.22 (s), x: -2.25 (m), y: 3.37 (m)
Time: 0.32 (s), x: -2.25 (m), y: 3.52 (m)
Time: 0.42 (s), x: -2.25 (m), y: 3.67 (m)
Time: 0.53 (s), x: -2.23 (m), y: 3.81 (m)
Time: 0.63 (s), x: -2.21 (m), y: 3.90 (m)
Time: 0.73 (s), x: -2.20 (m), y: 3.96 (m)
Time: 0.84 (s), x: -2.18 (m), y: 4.04 (m)
Time: 0.94 (s), x: -2.16 (m), y: 4.14 (m)
Time: 1.04 (s), x: -2.13 (m), y: 4.27 (m)
Time: 1.15 (s), x: -2.10 (m), y: 4.40 (m)
Time: 1.25 (s), x: -2.06 (m), y: 4.52 (m)
Time: 1.36 (s), x: -2.03 (m), y: 4.63 (m)
Time: 1.46 (s), x: -2.00 (m), y: 4.72 (m)
Time: 1.56 (s), x: -1.95 (m), y: 4.83 (m)
Time: 1.67 (s), x: -1.89 (m), y: 4.95 (m)
Time: 1.77 (s), x: -1.84 (m), y: 5.05 (m)
Time: 1.88 (s), x: -1.77 (m), y: 5.14 (m)
Time: 1.98 (s), x: -1.68 (m), y: 5.26 (m)
Time: 2.08 (s), x: -1.58 (m), y: 5.36 (m)
Time: 2.19 (s), x: -1.47 (m), y: 5.47 (m)
Time: 2.29 (s), x: -1.38 (m), y: 5.57 (m)
Time: 2.39 (s), x: -1.30 (m), y: 5.66 (m)
Time: 2.50 (s), x: -1.23 (m), y: 5.75 (m)
Time: 2.60 (s), x: -1.19 (m), y: 5.80 (m)
Time: 2.70 (s), x: -1.16 (m), y: 5.84 (m)
Time: 2.81 (s), x: -1.13 (m), y: 5.88 (m)
