🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_lfh_w267.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_267.world <<<<<<<<<<<<<<<<<<
Time: 0.00 (s), x: -1.98 (m), y: 3.25 (m)
Time: 0.11 (s), x: -1.97 (m), y: 3.30 (m)
Time: 0.22 (s), x: -1.96 (m), y: 3.36 (m)
Time: 0.32 (s), x: -1.96 (m), y: 3.42 (m)
Time: 0.42 (s), x: -1.95 (m), y: 3.48 (m)
Time: 0.53 (s), x: -1.94 (m), y: 3.54 (m)
Time: 0.63 (s), x: -1.94 (m), y: 3.59 (m)
Time: 0.73 (s), x: -1.94 (m), y: 3.62 (m)
Time: 0.84 (s), x: -1.94 (m), y: 3.62 (m)
Time: 0.94 (s), x: -1.94 (m), y: 3.62 (m)
Time: 1.04 (s), x: -1.95 (m), y: 3.66 (m)
Time: 1.14 (s), x: -1.95 (m), y: 3.71 (m)
Time: 1.25 (s), x: -1.96 (m), y: 3.76 (m)
Time: 1.35 (s), x: -1.98 (m), y: 3.82 (m)
Time: 1.46 (s), x: -2.00 (m), y: 3.87 (m)
Time: 1.56 (s), x: -2.01 (m), y: 3.92 (m)
Time: 1.67 (s), x: -2.03 (m), y: 3.97 (m)
Time: 1.78 (s), x: -2.04 (m), y: 4.03 (m)
Time: 1.88 (s), x: -2.08 (m), y: 4.10 (m)
Time: 1.98 (s), x: -2.12 (m), y: 4.20 (m)
Time: 2.09 (s), x: -2.17 (m), y: 4.33 (m)
Time: 2.19 (s), x: -2.22 (m), y: 4.46 (m)
Time: 2.29 (s), x: -2.27 (m), y: 4.55 (m)
Time: 2.39 (s), x: -2.33 (m), y: 4.66 (m)
Time: 2.50 (s), x: -2.39 (m), y: 4.75 (m)
Time: 2.60 (s), x: -2.45 (m), y: 4.85 (m)
Time: 2.71 (s), x: -2.52 (m), y: 4.97 (m)
Time: 2.82 (s), x: -2.59 (m), y: 5.09 (m)
Time: 2.92 (s), x: -2.66 (m), y: 5.20 (m)
Time: 3.03 (s), x: -2.72 (m), y: 5.30 (m)
Time: 3.13 (s), x: -2.77 (m), y: 5.37 (m)
Time: 3.24 (s), x: -2.80 (m), y: 5.43 (m)
Time: 3.34 (s), x: -2.83 (m), y: 5.47 (m)
Time: 3.45 (s), x: -2.86 (m), y: 5.54 (m)
Time: 3.55 (s), x: -2.90 (m), y: 5.60 (m)
Time: 3.65 (s), x: -2.93 (m), y: 5.65 (m)
Time: 3.76 (s), x: -2.97 (m), y: 5.72 (m)
Time: 3.86 (s), x: -3.00 (m), y: 5.78 (m)
Time: 3.96 (s), x: -3.03 (m), y: 5.83 (m)
Time: 4.06 (s), x: -3.04 (m), y: 5.87 (m)
Time: 4.17 (s), x: -3.06 (m), y: 5.91 (m)
Time: 4.27 (s), x: -3.06 (m), y: 5.94 (m)
Time: 4.37 (s), x: -3.06 (m), y: 6.00 (m)
Time: 4.48 (s), x: -3.06 (m), y: 6.06 (m)
Time: 4.58 (s), x: -3.06 (m), y: 6.12 (m)
Time: 4.69 (s), x: -3.06 (m), y: 6.20 (m)
Time: 4.79 (s), x: -3.05 (m), y: 6.28 (m)
Time: 4.90 (s), x: -3.04 (m), y: 6.36 (m)
Time: 5.00 (s), x: -3.03 (m), y: 6.44 (m)
Time: 5.10 (s), x: -3.02 (m), y: 6.51 (m)
Time: 5.21 (s), x: -3.02 (m), y: 6.57 (m)
Time: 5.31 (s), x: -3.01 (m), y: 6.63 (m)
Time: 5.42 (s), x: -3.02 (m), y: 6.67 (m)
Time: 5.52 (s), x: -3.04 (m), y: 6.71 (m)
Time: 5.62 (s), x: -3.05 (m), y: 6.76 (m)
Time: 5.73 (s), x: -3.06 (m), y: 6.80 (m)
Time: 5.83 (s), x: -3.07 (m), y: 6.83 (m)
Time: 5.94 (s), x: -3.07 (m), y: 6.85 (m)
Time: 6.04 (s), x: -3.06 (m), y: 6.86 (m)
Time: 6.15 (s), x: -3.07 (m), y: 6.86 (m)
Time: 6.25 (s), x: -3.09 (m), y: 6.86 (m)
Time: 6.36 (s), x: -3.10 (m), y: 6.84 (m)
Time: 6.46 (s), x: -3.12 (m), y: 6.83 (m)
Time: 6.56 (s), x: -3.14 (m), y: 6.80 (m)
Time: 6.66 (s), x: -3.14 (m), y: 6.79 (m)
Time: 6.77 (s), x: -3.15 (m), y: 6.79 (m)
Time: 6.88 (s), x: -3.15 (m), y: 6.79 (m)
Time: 6.98 (s), x: -3.16 (m), y: 6.80 (m)
Time: 7.09 (s), x: -3.17 (m), y: 6.80 (m)
Time: 7.19 (s), x: -3.19 (m), y: 6.81 (m)
Time: 7.30 (s), x: -3.21 (m), y: 6.82 (m)
Time: 7.41 (s), x: -3.23 (m), y: 6.84 (m)
Time: 7.51 (s), x: -3.24 (m), y: 6.87 (m)
Time: 7.61 (s), x: -3.23 (m), y: 6.89 (m)
Time: 7.72 (s), x: -3.22 (m), y: 6.91 (m)
Time: 7.82 (s), x: -3.21 (m), y: 6.91 (m)
Time: 7.93 (s), x: -3.16 (m), y: 6.89 (m)
Time: 8.03 (s), x: -3.09 (m), y: 6.85 (m)
Time: 8.13 (s), x: -3.02 (m), y: 6.81 (m)
Time: 8.24 (s), x: -2.95 (m), y: 6.78 (m)
Time: 8.34 (s), x: -2.87 (m), y: 6.74 (m)
Time: 8.44 (s), x: -2.80 (m), y: 6.71 (m)
Time: 8.55 (s), x: -2.75 (m), y: 6.69 (m)
Time: 8.65 (s), x: -2.72 (m), y: 6.67 (m)
Time: 8.76 (s), x: -2.70 (m), y: 6.65 (m)
Time: 8.87 (s), x: -2.67 (m), y: 6.62 (m)
Time: 8.97 (s), x: -2.65 (m), y: 6.59 (m)
Time: 9.08 (s), x: -2.62 (m), y: 6.56 (m)
Time: 9.18 (s), x: -2.59 (m), y: 6.52 (m)
Time: 9.28 (s), x: -2.56 (m), y: 6.50 (m)
Time: 9.38 (s), x: -2.53 (m), y: 6.49 (m)
Time: 9.49 (s), x: -2.52 (m), y: 6.50 (m)
Time: 9.60 (s), x: -2.51 (m), y: 6.51 (m)
Time: 9.70 (s), x: -2.51 (m), y: 6.52 (m)
Time: 9.80 (s), x: -2.51 (m), y: 6.53 (m)
