🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_lfh_w195.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_195.world <<<<<<<<<<<<<<<<<<
[WARN] [1750040091.513122, 0.000000]: wait_for_service(/gazebo/get_model_state): failed to contact, will keep trying
[INFO] [1750040113.867954, 0.000000]: wait_for_service(/gazebo/get_model_state): finally were able to contact [rosrpc://turan-TULPAR-T5-V20-3:46665]
Time: 0.01 (s), x: -2.00 (m), y: 3.11 (m)
Time: 0.11 (s), x: -1.99 (m), y: 3.13 (m)
Time: 0.21 (s), x: -1.99 (m), y: 3.14 (m)
Time: 0.31 (s), x: -1.99 (m), y: 3.14 (m)
Time: 0.42 (s), x: -1.99 (m), y: 3.14 (m)
Time: 0.52 (s), x: -1.99 (m), y: 3.14 (m)
Time: 0.62 (s), x: -1.99 (m), y: 3.14 (m)
Time: 0.72 (s), x: -1.99 (m), y: 3.14 (m)
Time: 0.82 (s), x: -1.99 (m), y: 3.14 (m)
Time: 0.92 (s), x: -1.99 (m), y: 3.14 (m)
Time: 1.02 (s), x: -1.99 (m), y: 3.14 (m)
Time: 1.12 (s), x: -1.99 (m), y: 3.14 (m)
Time: 1.22 (s), x: -1.99 (m), y: 3.14 (m)
Time: 1.32 (s), x: -1.99 (m), y: 3.14 (m)
Time: 1.43 (s), x: -1.99 (m), y: 3.14 (m)
Time: 1.53 (s), x: -1.99 (m), y: 3.14 (m)
Time: 1.63 (s), x: -1.99 (m), y: 3.14 (m)
Time: 1.73 (s), x: -1.99 (m), y: 3.14 (m)
Time: 1.83 (s), x: -1.99 (m), y: 3.14 (m)
Time: 1.93 (s), x: -1.99 (m), y: 3.14 (m)
Time: 2.03 (s), x: -1.99 (m), y: 3.14 (m)
Time: 2.13 (s), x: -1.99 (m), y: 3.14 (m)
Time: 2.23 (s), x: -1.99 (m), y: 3.14 (m)
Time: 2.33 (s), x: -1.99 (m), y: 3.14 (m)
Time: 2.43 (s), x: -1.99 (m), y: 3.14 (m)
Time: 2.53 (s), x: -1.99 (m), y: 3.14 (m)
Time: 2.63 (s), x: -1.99 (m), y: 3.14 (m)
Time: 2.74 (s), x: -1.99 (m), y: 3.14 (m)
Time: 2.83 (s), x: -1.99 (m), y: 3.14 (m)
Time: 2.94 (s), x: -1.99 (m), y: 3.14 (m)
Time: 3.04 (s), x: -1.99 (m), y: 3.14 (m)
Time: 3.14 (s), x: -1.99 (m), y: 3.14 (m)
Time: 3.24 (s), x: -1.99 (m), y: 3.14 (m)
Time: 3.34 (s), x: -1.99 (m), y: 3.14 (m)
Time: 3.44 (s), x: -1.99 (m), y: 3.14 (m)
Time: 3.54 (s), x: -1.99 (m), y: 3.14 (m)
Time: 3.64 (s), x: -1.99 (m), y: 3.14 (m)
Time: 3.74 (s), x: -1.99 (m), y: 3.14 (m)
Time: 3.85 (s), x: -1.99 (m), y: 3.14 (m)
Time: 3.95 (s), x: -1.99 (m), y: 3.14 (m)
Time: 4.05 (s), x: -1.99 (m), y: 3.14 (m)
Time: 4.15 (s), x: -1.99 (m), y: 3.14 (m)
Time: 4.25 (s), x: -1.99 (m), y: 3.14 (m)
Time: 4.35 (s), x: -1.99 (m), y: 3.14 (m)
Time: 4.45 (s), x: -1.99 (m), y: 3.14 (m)
Time: 4.55 (s), x: -1.99 (m), y: 3.14 (m)
Time: 4.66 (s), x: -1.99 (m), y: 3.14 (m)
Time: 4.76 (s), x: -1.99 (m), y: 3.14 (m)
Time: 4.87 (s), x: -1.99 (m), y: 3.14 (m)
Time: 4.97 (s), x: -1.99 (m), y: 3.14 (m)
Time: 5.07 (s), x: -1.99 (m), y: 3.14 (m)
Time: 5.17 (s), x: -1.99 (m), y: 3.14 (m)
Time: 5.28 (s), x: -1.99 (m), y: 3.14 (m)
Time: 5.38 (s), x: -1.99 (m), y: 3.14 (m)
Time: 5.48 (s), x: -1.99 (m), y: 3.14 (m)
Time: 5.59 (s), x: -1.99 (m), y: 3.14 (m)
Time: 5.69 (s), x: -1.99 (m), y: 3.14 (m)
Time: 5.79 (s), x: -1.99 (m), y: 3.14 (m)
Time: 5.90 (s), x: -1.99 (m), y: 3.14 (m)
Time: 6.00 (s), x: -1.99 (m), y: 3.14 (m)
Time: 6.10 (s), x: -1.99 (m), y: 3.14 (m)
