🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_e2e_w15.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_15.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.07 (m), y: 3.10 (m)
Time: 0.12 (s), x: -2.11 (m), y: 3.21 (m)
Time: 0.22 (s), x: -2.16 (m), y: 3.34 (m)
Time: 0.32 (s), x: -2.21 (m), y: 3.46 (m)
Time: 0.43 (s), x: -2.28 (m), y: 3.61 (m)
Time: 0.53 (s), x: -2.38 (m), y: 3.76 (m)
Time: 0.64 (s), x: -2.49 (m), y: 3.93 (m)
Time: 0.74 (s), x: -2.61 (m), y: 4.11 (m)
Time: 0.85 (s), x: -2.71 (m), y: 4.29 (m)
Time: 0.96 (s), x: -2.78 (m), y: 4.48 (m)
Time: 1.06 (s), x: -2.82 (m), y: 4.69 (m)
Time: 1.16 (s), x: -2.85 (m), y: 4.88 (m)
Time: 1.27 (s), x: -2.91 (m), y: 5.10 (m)
Time: 1.38 (s), x: -2.98 (m), y: 5.29 (m)
Time: 1.48 (s), x: -3.05 (m), y: 5.48 (m)
Time: 1.58 (s), x: -3.09 (m), y: 5.67 (m)
Time: 1.69 (s), x: -3.11 (m), y: 5.88 (m)
Time: 1.79 (s), x: -3.09 (m), y: 6.07 (m)
Time: 1.90 (s), x: -3.06 (m), y: 6.23 (m)
Time: 2.00 (s), x: -3.04 (m), y: 6.37 (m)
Time: 2.11 (s), x: -3.02 (m), y: 6.46 (m)
Time: 2.21 (s), x: -3.01 (m), y: 6.49 (m)
Time: 2.32 (s), x: -3.02 (m), y: 6.49 (m)
Time: 2.42 (s), x: -3.02 (m), y: 6.46 (m)
Time: 2.53 (s), x: -3.02 (m), y: 6.41 (m)
Time: 2.63 (s), x: -3.01 (m), y: 6.36 (m)
Time: 2.73 (s), x: -3.00 (m), y: 6.28 (m)
Time: 2.84 (s), x: -2.97 (m), y: 6.21 (m)
Time: 2.95 (s), x: -2.93 (m), y: 6.13 (m)
Time: 3.05 (s), x: -2.89 (m), y: 6.07 (m)
Time: 3.15 (s), x: -2.84 (m), y: 6.03 (m)
Time: 3.25 (s), x: -2.80 (m), y: 5.98 (m)
Time: 3.36 (s), x: -2.76 (m), y: 5.93 (m)
Time: 3.46 (s), x: -2.73 (m), y: 5.88 (m)
Time: 3.57 (s), x: -2.70 (m), y: 5.81 (m)
Time: 3.67 (s), x: -2.68 (m), y: 5.79 (m)
Time: 3.77 (s), x: -2.65 (m), y: 5.80 (m)
Time: 3.88 (s), x: -2.63 (m), y: 5.85 (m)
Time: 3.98 (s), x: -2.59 (m), y: 5.94 (m)
Time: 4.08 (s), x: -2.54 (m), y: 6.05 (m)
Time: 4.19 (s), x: -2.50 (m), y: 6.18 (m)
Time: 4.29 (s), x: -2.44 (m), y: 6.32 (m)
Time: 4.40 (s), x: -2.39 (m), y: 6.48 (m)
Time: 4.50 (s), x: -2.35 (m), y: 6.63 (m)
Time: 4.61 (s), x: -2.32 (m), y: 6.81 (m)
Time: 4.71 (s), x: -2.33 (m), y: 6.98 (m)
Time: 4.82 (s), x: -2.38 (m), y: 7.15 (m)
Time: 4.92 (s), x: -2.43 (m), y: 7.26 (m)
Time: 5.02 (s), x: -2.47 (m), y: 7.32 (m)
Time: 5.13 (s), x: -2.49 (m), y: 7.33 (m)
Time: 5.23 (s), x: -2.49 (m), y: 7.34 (m)
Time: 5.34 (s), x: -2.45 (m), y: 7.32 (m)
Time: 5.44 (s), x: -2.42 (m), y: 7.29 (m)
Time: 5.55 (s), x: -2.36 (m), y: 7.24 (m)
Time: 5.66 (s), x: -2.30 (m), y: 7.18 (m)
Time: 5.77 (s), x: -2.23 (m), y: 7.13 (m)
Time: 5.87 (s), x: -2.17 (m), y: 7.08 (m)
Time: 5.98 (s), x: -2.10 (m), y: 7.03 (m)
Time: 6.09 (s), x: -2.04 (m), y: 6.98 (m)
Time: 6.19 (s), x: -1.99 (m), y: 6.94 (m)
Time: 6.29 (s), x: -1.95 (m), y: 6.90 (m)
Time: 6.40 (s), x: -1.89 (m), y: 6.85 (m)
Time: 6.51 (s), x: -1.84 (m), y: 6.81 (m)
Time: 6.61 (s), x: -1.82 (m), y: 6.79 (m)
Time: 6.72 (s), x: -1.83 (m), y: 6.81 (m)
Time: 6.83 (s), x: -1.87 (m), y: 6.85 (m)
Time: 6.94 (s), x: -1.94 (m), y: 6.91 (m)
Time: 7.04 (s), x: -2.03 (m), y: 6.99 (m)
Time: 7.14 (s), x: -2.14 (m), y: 7.10 (m)
Time: 7.24 (s), x: -2.27 (m), y: 7.22 (m)
Time: 7.35 (s), x: -2.38 (m), y: 7.31 (m)
Time: 7.47 (s), x: -2.46 (m), y: 7.37 (m)
Time: 7.57 (s), x: -2.51 (m), y: 7.41 (m)
Time: 7.67 (s), x: -2.53 (m), y: 7.42 (m)
Time: 7.78 (s), x: -2.53 (m), y: 7.42 (m)
Time: 7.89 (s), x: -2.51 (m), y: 7.40 (m)
Time: 7.99 (s), x: -2.48 (m), y: 7.38 (m)
Time: 8.09 (s), x: -2.45 (m), y: 7.35 (m)
Time: 8.20 (s), x: -2.41 (m), y: 7.31 (m)
Time: 8.30 (s), x: -2.36 (m), y: 7.24 (m)
Time: 8.41 (s), x: -2.32 (m), y: 7.19 (m)
Time: 8.52 (s), x: -2.31 (m), y: 7.17 (m)
Time: 8.63 (s), x: -2.31 (m), y: 7.18 (m)
Time: 8.73 (s), x: -2.34 (m), y: 7.21 (m)
Time: 8.84 (s), x: -2.36 (m), y: 7.24 (m)
Time: 8.95 (s), x: -2.37 (m), y: 7.25 (m)
Time: 9.05 (s), x: -2.37 (m), y: 7.24 (m)
Time: 9.15 (s), x: -2.36 (m), y: 7.21 (m)
Time: 9.26 (s), x: -2.35 (m), y: 7.18 (m)
Time: 9.37 (s), x: -2.34 (m), y: 7.13 (m)
Time: 9.47 (s), x: -2.34 (m), y: 7.09 (m)
Time: 9.58 (s), x: -2.35 (m), y: 7.04 (m)
Time: 9.68 (s), x: -2.36 (m), y: 6.98 (m)
Time: 9.79 (s), x: -2.36 (m), y: 6.95 (m)
Time: 9.89 (s), x: -2.35 (m), y: 6.95 (m)
Time: 10.00 (s), x: -2.34 (m), y: 6.99 (m)
Time: 10.10 (s), x: -2.30 (m), y: 7.07 (m)
Time: 10.21 (s), x: -2.26 (m), y: 7.18 (m)
Time: 10.31 (s), x: -2.21 (m), y: 7.29 (m)
Time: 10.41 (s), x: -2.17 (m), y: 7.42 (m)
Time: 10.51 (s), x: -2.11 (m), y: 7.57 (m)
Time: 10.62 (s), x: -2.07 (m), y: 7.72 (m)
Time: 10.73 (s), x: -2.03 (m), y: 7.89 (m)
Time: 10.83 (s), x: -2.03 (m), y: 8.08 (m)
Time: 10.93 (s), x: -2.07 (m), y: 8.32 (m)
Time: 11.03 (s), x: -2.13 (m), y: 8.49 (m)
Time: 11.14 (s), x: -2.15 (m), y: 8.58 (m)
Time: 11.25 (s), x: -2.17 (m), y: 8.66 (m)
Time: 11.35 (s), x: -2.18 (m), y: 8.74 (m)
Time: 11.45 (s), x: -2.16 (m), y: 8.79 (m)
Time: 11.55 (s), x: -2.13 (m), y: 8.87 (m)
Time: 11.66 (s), x: -2.07 (m), y: 8.96 (m)
Time: 11.77 (s), x: -2.03 (m), y: 9.03 (m)
Time: 11.87 (s), x: -2.03 (m), y: 9.08 (m)
Time: 11.98 (s), x: -2.03 (m), y: 9.11 (m)
Time: 12.09 (s), x: -2.04 (m), y: 9.10 (m)
Time: 12.19 (s), x: -2.05 (m), y: 9.06 (m)
Time: 12.30 (s), x: -2.06 (m), y: 9.01 (m)
Time: 12.41 (s), x: -2.08 (m), y: 8.93 (m)
