🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_sac_w53.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_53.world <<<<<<<<<<<<<<<<<<
Time: 0.02 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.16 (m)
Time: 0.22 (s), x: -2.25 (m), y: 3.21 (m)
Time: 0.33 (s), x: -2.25 (m), y: 3.27 (m)
Time: 0.43 (s), x: -2.25 (m), y: 3.32 (m)
Time: 0.53 (s), x: -2.25 (m), y: 3.37 (m)
Time: 0.64 (s), x: -2.25 (m), y: 3.42 (m)
Time: 0.74 (s), x: -2.25 (m), y: 3.47 (m)
Time: 0.85 (s), x: -2.25 (m), y: 3.53 (m)
Time: 0.95 (s), x: -2.25 (m), y: 3.58 (m)
Time: 1.05 (s), x: -2.25 (m), y: 3.63 (m)
Time: 1.15 (s), x: -2.25 (m), y: 3.68 (m)
Time: 1.26 (s), x: -2.25 (m), y: 3.73 (m)
Time: 1.36 (s), x: -2.25 (m), y: 3.78 (m)
Time: 1.46 (s), x: -2.25 (m), y: 3.83 (m)
Time: 1.56 (s), x: -2.25 (m), y: 3.88 (m)
Time: 1.67 (s), x: -2.25 (m), y: 3.94 (m)
Time: 1.78 (s), x: -2.25 (m), y: 3.99 (m)
Time: 1.88 (s), x: -2.25 (m), y: 4.04 (m)
Time: 1.98 (s), x: -2.25 (m), y: 4.09 (m)
Time: 2.08 (s), x: -2.25 (m), y: 4.14 (m)
Time: 2.19 (s), x: -2.25 (m), y: 4.19 (m)
Time: 2.29 (s), x: -2.25 (m), y: 4.25 (m)
Time: 2.39 (s), x: -2.25 (m), y: 4.30 (m)
Time: 2.49 (s), x: -2.25 (m), y: 4.35 (m)
Time: 2.60 (s), x: -2.25 (m), y: 4.40 (m)
Time: 2.70 (s), x: -2.25 (m), y: 4.45 (m)
Time: 2.81 (s), x: -2.25 (m), y: 4.50 (m)
Time: 2.91 (s), x: -2.25 (m), y: 4.56 (m)
Time: 3.02 (s), x: -2.25 (m), y: 4.60 (m)
Time: 3.12 (s), x: -2.25 (m), y: 4.66 (m)
Time: 3.23 (s), x: -2.24 (m), y: 4.71 (m)
Time: 3.33 (s), x: -2.24 (m), y: 4.76 (m)
Time: 3.43 (s), x: -2.23 (m), y: 4.81 (m)
Time: 3.53 (s), x: -2.23 (m), y: 4.86 (m)
Time: 3.64 (s), x: -2.22 (m), y: 4.91 (m)
Time: 3.74 (s), x: -2.21 (m), y: 4.97 (m)
Time: 3.84 (s), x: -2.20 (m), y: 5.02 (m)
Time: 3.95 (s), x: -2.19 (m), y: 5.07 (m)
Time: 4.06 (s), x: -2.19 (m), y: 5.12 (m)
Time: 4.16 (s), x: -2.18 (m), y: 5.17 (m)
Time: 4.27 (s), x: -2.17 (m), y: 5.23 (m)
Time: 4.37 (s), x: -2.16 (m), y: 5.28 (m)
Time: 4.47 (s), x: -2.15 (m), y: 5.33 (m)
Time: 4.58 (s), x: -2.14 (m), y: 5.38 (m)
Time: 4.68 (s), x: -2.13 (m), y: 5.43 (m)
Time: 4.79 (s), x: -2.12 (m), y: 5.48 (m)
Time: 4.89 (s), x: -2.11 (m), y: 5.54 (m)
Time: 4.99 (s), x: -2.10 (m), y: 5.58 (m)
Time: 5.10 (s), x: -2.09 (m), y: 5.63 (m)
Time: 5.20 (s), x: -2.08 (m), y: 5.68 (m)
Time: 5.30 (s), x: -2.07 (m), y: 5.73 (m)
Time: 5.40 (s), x: -2.05 (m), y: 5.79 (m)
Time: 5.50 (s), x: -2.04 (m), y: 5.83 (m)
Time: 5.61 (s), x: -2.03 (m), y: 5.88 (m)
Time: 5.72 (s), x: -2.01 (m), y: 5.93 (m)
Time: 5.82 (s), x: -1.99 (m), y: 5.99 (m)
Time: 5.93 (s), x: -1.98 (m), y: 6.04 (m)
Time: 6.03 (s), x: -1.96 (m), y: 6.09 (m)
Time: 6.14 (s), x: -1.94 (m), y: 6.14 (m)
Time: 6.24 (s), x: -1.93 (m), y: 6.19 (m)
Time: 6.35 (s), x: -1.91 (m), y: 6.23 (m)
Time: 6.45 (s), x: -1.89 (m), y: 6.28 (m)
Time: 6.55 (s), x: -1.87 (m), y: 6.33 (m)
Time: 6.65 (s), x: -1.86 (m), y: 6.38 (m)
Time: 6.76 (s), x: -1.84 (m), y: 6.42 (m)
Time: 6.87 (s), x: -1.83 (m), y: 6.45 (m)
Time: 6.97 (s), x: -1.82 (m), y: 6.47 (m)
Time: 7.07 (s), x: -1.81 (m), y: 6.50 (m)
Time: 7.18 (s), x: -1.79 (m), y: 6.54 (m)
Time: 7.29 (s), x: -1.78 (m), y: 6.58 (m)
Time: 7.39 (s), x: -1.76 (m), y: 6.62 (m)
Time: 7.49 (s), x: -1.74 (m), y: 6.66 (m)
Time: 7.59 (s), x: -1.73 (m), y: 6.69 (m)
Time: 7.69 (s), x: -1.71 (m), y: 6.72 (m)
Time: 7.80 (s), x: -1.70 (m), y: 6.74 (m)
Time: 7.91 (s), x: -1.69 (m), y: 6.77 (m)
Time: 8.01 (s), x: -1.68 (m), y: 6.79 (m)
Time: 8.11 (s), x: -1.67 (m), y: 6.81 (m)
Time: 8.21 (s), x: -1.66 (m), y: 6.82 (m)
Time: 8.32 (s), x: -1.66 (m), y: 6.84 (m)
Time: 8.43 (s), x: -1.65 (m), y: 6.86 (m)
Time: 8.53 (s), x: -1.64 (m), y: 6.88 (m)
Time: 8.64 (s), x: -1.64 (m), y: 6.89 (m)
Time: 8.74 (s), x: -1.63 (m), y: 6.91 (m)
Time: 8.84 (s), x: -1.63 (m), y: 6.93 (m)
Time: 8.95 (s), x: -1.62 (m), y: 6.95 (m)
Time: 9.05 (s), x: -1.62 (m), y: 6.96 (m)
Time: 9.16 (s), x: -1.61 (m), y: 6.98 (m)
Time: 9.26 (s), x: -1.61 (m), y: 6.99 (m)
Time: 9.37 (s), x: -1.61 (m), y: 7.00 (m)
Time: 9.47 (s), x: -1.60 (m), y: 7.02 (m)
Time: 9.58 (s), x: -1.60 (m), y: 7.03 (m)
Time: 9.68 (s), x: -1.60 (m), y: 7.04 (m)
Time: 9.79 (s), x: -1.60 (m), y: 7.04 (m)
Time: 9.89 (s), x: -1.59 (m), y: 7.05 (m)
Time: 9.99 (s), x: -1.59 (m), y: 7.07 (m)
Time: 10.09 (s), x: -1.58 (m), y: 7.09 (m)
Time: 10.20 (s), x: -1.57 (m), y: 7.12 (m)
Time: 10.30 (s), x: -1.57 (m), y: 7.14 (m)
Time: 10.40 (s), x: -1.56 (m), y: 7.17 (m)
Time: 10.51 (s), x: -1.56 (m), y: 7.19 (m)
Time: 10.61 (s), x: -1.55 (m), y: 7.20 (m)
Time: 10.72 (s), x: -1.55 (m), y: 7.22 (m)
Time: 10.82 (s), x: -1.54 (m), y: 7.24 (m)
Time: 10.93 (s), x: -1.54 (m), y: 7.25 (m)
Time: 11.03 (s), x: -1.53 (m), y: 7.27 (m)
Time: 11.13 (s), x: -1.53 (m), y: 7.28 (m)
Time: 11.23 (s), x: -1.53 (m), y: 7.29 (m)
Time: 11.33 (s), x: -1.53 (m), y: 7.30 (m)
Time: 11.43 (s), x: -1.52 (m), y: 7.31 (m)
Time: 11.54 (s), x: -1.52 (m), y: 7.32 (m)
Time: 11.64 (s), x: -1.52 (m), y: 7.32 (m)
Time: 11.74 (s), x: -1.51 (m), y: 7.33 (m)
Time: 11.85 (s), x: -1.51 (m), y: 7.34 (m)
Time: 11.95 (s), x: -1.51 (m), y: 7.35 (m)
Time: 12.06 (s), x: -1.51 (m), y: 7.35 (m)
Time: 12.16 (s), x: -1.51 (m), y: 7.36 (m)
Time: 12.27 (s), x: -1.52 (m), y: 7.36 (m)
Time: 12.37 (s), x: -1.52 (m), y: 7.36 (m)
Time: 12.48 (s), x: -1.53 (m), y: 7.37 (m)
Time: 12.58 (s), x: -1.53 (m), y: 7.37 (m)
Time: 12.68 (s), x: -1.52 (m), y: 7.38 (m)
Time: 12.79 (s), x: -1.52 (m), y: 7.40 (m)
Time: 12.89 (s), x: -1.51 (m), y: 7.41 (m)
Time: 12.99 (s), x: -1.50 (m), y: 7.42 (m)
Time: 13.10 (s), x: -1.49 (m), y: 7.44 (m)
Time: 13.20 (s), x: -1.49 (m), y: 7.45 (m)
Time: 13.30 (s), x: -1.48 (m), y: 7.45 (m)
Time: 13.41 (s), x: -1.47 (m), y: 7.47 (m)
Time: 13.52 (s), x: -1.46 (m), y: 7.49 (m)
Time: 13.62 (s), x: -1.45 (m), y: 7.50 (m)
Time: 13.73 (s), x: -1.44 (m), y: 7.51 (m)
Time: 13.83 (s), x: -1.43 (m), y: 7.52 (m)
Time: 13.93 (s), x: -1.43 (m), y: 7.53 (m)
Time: 14.04 (s), x: -1.42 (m), y: 7.54 (m)
Time: 14.14 (s), x: -1.40 (m), y: 7.56 (m)
Time: 14.24 (s), x: -1.38 (m), y: 7.59 (m)
Time: 14.34 (s), x: -1.35 (m), y: 7.62 (m)
Time: 14.44 (s), x: -1.32 (m), y: 7.66 (m)
Time: 14.54 (s), x: -1.29 (m), y: 7.70 (m)
Time: 14.65 (s), x: -1.25 (m), y: 7.74 (m)
Time: 14.75 (s), x: -1.23 (m), y: 7.79 (m)
Time: 14.86 (s), x: -1.21 (m), y: 7.84 (m)
Time: 14.96 (s), x: -1.19 (m), y: 7.89 (m)
Time: 15.06 (s), x: -1.17 (m), y: 7.93 (m)
Time: 15.17 (s), x: -1.16 (m), y: 7.99 (m)
Time: 15.27 (s), x: -1.15 (m), y: 8.04 (m)
Time: 15.37 (s), x: -1.14 (m), y: 8.09 (m)
Time: 15.48 (s), x: -1.13 (m), y: 8.14 (m)
Time: 15.58 (s), x: -1.13 (m), y: 8.19 (m)
Time: 15.69 (s), x: -1.13 (m), y: 8.24 (m)
Time: 15.79 (s), x: -1.12 (m), y: 8.29 (m)
Time: 15.89 (s), x: -1.12 (m), y: 8.34 (m)
Time: 15.99 (s), x: -1.11 (m), y: 8.39 (m)
Time: 16.10 (s), x: -1.11 (m), y: 8.44 (m)
Time: 16.20 (s), x: -1.11 (m), y: 8.49 (m)
Time: 16.30 (s), x: -1.11 (m), y: 8.54 (m)
Time: 16.40 (s), x: -1.11 (m), y: 8.60 (m)
Time: 16.51 (s), x: -1.11 (m), y: 8.65 (m)
