🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_sac_w215.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_215.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.11 (s), x: -2.25 (m), y: 3.16 (m)
Time: 0.21 (s), x: -2.25 (m), y: 3.21 (m)
Time: 0.32 (s), x: -2.25 (m), y: 3.26 (m)
Time: 0.42 (s), x: -2.25 (m), y: 3.31 (m)
Time: 0.52 (s), x: -2.25 (m), y: 3.36 (m)
Time: 0.62 (s), x: -2.24 (m), y: 3.41 (m)
Time: 0.72 (s), x: -2.24 (m), y: 3.46 (m)
Time: 0.82 (s), x: -2.23 (m), y: 3.51 (m)
Time: 0.92 (s), x: -2.23 (m), y: 3.56 (m)
Time: 1.03 (s), x: -2.23 (m), y: 3.62 (m)
Time: 1.13 (s), x: -2.22 (m), y: 3.67 (m)
Time: 1.23 (s), x: -2.22 (m), y: 3.72 (m)
Time: 1.34 (s), x: -2.21 (m), y: 3.77 (m)
Time: 1.44 (s), x: -2.21 (m), y: 3.82 (m)
Time: 1.54 (s), x: -2.20 (m), y: 3.87 (m)
Time: 1.64 (s), x: -2.20 (m), y: 3.92 (m)
Time: 1.75 (s), x: -2.19 (m), y: 3.96 (m)
Time: 1.85 (s), x: -2.19 (m), y: 4.01 (m)
Time: 1.96 (s), x: -2.19 (m), y: 4.07 (m)
Time: 2.06 (s), x: -2.18 (m), y: 4.12 (m)
Time: 2.17 (s), x: -2.17 (m), y: 4.17 (m)
Time: 2.27 (s), x: -2.16 (m), y: 4.23 (m)
Time: 2.37 (s), x: -2.15 (m), y: 4.28 (m)
Time: 2.48 (s), x: -2.14 (m), y: 4.33 (m)
Time: 2.58 (s), x: -2.13 (m), y: 4.38 (m)
Time: 2.69 (s), x: -2.12 (m), y: 4.43 (m)
Time: 2.79 (s), x: -2.11 (m), y: 4.48 (m)
Time: 2.90 (s), x: -2.10 (m), y: 4.54 (m)
Time: 3.00 (s), x: -2.09 (m), y: 4.59 (m)
Time: 3.10 (s), x: -2.07 (m), y: 4.63 (m)
Time: 3.21 (s), x: -2.06 (m), y: 4.68 (m)
Time: 3.31 (s), x: -2.04 (m), y: 4.73 (m)
Time: 3.41 (s), x: -2.03 (m), y: 4.78 (m)
Time: 3.51 (s), x: -2.01 (m), y: 4.83 (m)
Time: 3.62 (s), x: -2.00 (m), y: 4.87 (m)
Time: 3.72 (s), x: -1.98 (m), y: 4.91 (m)
Time: 3.82 (s), x: -1.98 (m), y: 4.93 (m)
Time: 3.93 (s), x: -1.97 (m), y: 4.96 (m)
Time: 4.03 (s), x: -1.96 (m), y: 4.98 (m)
Time: 4.13 (s), x: -1.94 (m), y: 5.03 (m)
Time: 4.24 (s), x: -1.93 (m), y: 5.07 (m)
Time: 4.34 (s), x: -1.91 (m), y: 5.10 (m)
