🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_teb_w271.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_271.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.11 (s), x: -2.25 (m), y: 3.20 (m)
Time: 0.22 (s), x: -2.26 (m), y: 3.33 (m)
Time: 0.32 (s), x: -2.26 (m), y: 3.45 (m)
Time: 0.42 (s), x: -2.26 (m), y: 3.57 (m)
Time: 0.52 (s), x: -2.26 (m), y: 3.66 (m)
Time: 0.63 (s), x: -2.26 (m), y: 3.74 (m)
Time: 0.73 (s), x: -2.28 (m), y: 3.85 (m)
Time: 0.84 (s), x: -2.30 (m), y: 3.98 (m)
Time: 0.94 (s), x: -2.32 (m), y: 4.12 (m)
Time: 1.04 (s), x: -2.34 (m), y: 4.27 (m)
Time: 1.15 (s), x: -2.37 (m), y: 4.41 (m)
Time: 1.25 (s), x: -2.41 (m), y: 4.51 (m)
Time: 1.35 (s), x: -2.43 (m), y: 4.58 (m)
Time: 1.46 (s), x: -2.45 (m), y: 4.63 (m)
Time: 1.57 (s), x: -2.45 (m), y: 4.66 (m)
Time: 1.67 (s), x: -2.45 (m), y: 4.65 (m)
Time: 1.77 (s), x: -2.45 (m), y: 4.63 (m)
Time: 1.88 (s), x: -2.46 (m), y: 4.61 (m)
Time: 1.98 (s), x: -2.47 (m), y: 4.58 (m)
Time: 2.08 (s), x: -2.48 (m), y: 4.54 (m)
Time: 2.18 (s), x: -2.49 (m), y: 4.52 (m)
Time: 2.28 (s), x: -2.51 (m), y: 4.50 (m)
Time: 2.39 (s), x: -2.52 (m), y: 4.49 (m)
Time: 2.49 (s), x: -2.54 (m), y: 4.49 (m)
Time: 2.59 (s), x: -2.53 (m), y: 4.50 (m)
Time: 2.69 (s), x: -2.51 (m), y: 4.51 (m)
Time: 2.79 (s), x: -2.47 (m), y: 4.52 (m)
Time: 2.90 (s), x: -2.44 (m), y: 4.53 (m)
Time: 3.01 (s), x: -2.41 (m), y: 4.54 (m)
Time: 3.11 (s), x: -2.40 (m), y: 4.54 (m)
Time: 3.21 (s), x: -2.39 (m), y: 4.54 (m)
Time: 3.32 (s), x: -2.37 (m), y: 4.53 (m)
Time: 3.42 (s), x: -2.34 (m), y: 4.52 (m)
Time: 3.52 (s), x: -2.30 (m), y: 4.50 (m)
Time: 3.63 (s), x: -2.25 (m), y: 4.48 (m)
Time: 3.73 (s), x: -2.18 (m), y: 4.46 (m)
Time: 3.84 (s), x: -2.11 (m), y: 4.43 (m)
Time: 3.94 (s), x: -2.05 (m), y: 4.41 (m)
Time: 4.05 (s), x: -1.96 (m), y: 4.39 (m)
Time: 4.15 (s), x: -1.86 (m), y: 4.38 (m)
Time: 4.26 (s), x: -1.75 (m), y: 4.39 (m)
Time: 4.37 (s), x: -1.62 (m), y: 4.42 (m)
Time: 4.47 (s), x: -1.48 (m), y: 4.48 (m)
Time: 4.58 (s), x: -1.35 (m), y: 4.56 (m)
Time: 4.68 (s), x: -1.26 (m), y: 4.66 (m)
