🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_lfh_w134.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_134.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.00 (m), y: 3.11 (m)
Time: 0.11 (s), x: -2.00 (m), y: 3.16 (m)
Time: 0.22 (s), x: -2.00 (m), y: 3.22 (m)
Time: 0.32 (s), x: -2.00 (m), y: 3.27 (m)
Time: 0.42 (s), x: -2.01 (m), y: 3.32 (m)
Time: 0.53 (s), x: -2.02 (m), y: 3.37 (m)
Time: 0.63 (s), x: -2.03 (m), y: 3.42 (m)
Time: 0.74 (s), x: -2.04 (m), y: 3.47 (m)
Time: 0.84 (s), x: -2.05 (m), y: 3.52 (m)
Time: 0.94 (s), x: -2.06 (m), y: 3.57 (m)
Time: 1.04 (s), x: -2.07 (m), y: 3.62 (m)
Time: 1.15 (s), x: -2.08 (m), y: 3.67 (m)
Time: 1.25 (s), x: -2.08 (m), y: 3.69 (m)
Time: 1.35 (s), x: -2.08 (m), y: 3.69 (m)
Time: 1.45 (s), x: -2.08 (m), y: 3.69 (m)
Time: 1.55 (s), x: -2.08 (m), y: 3.69 (m)
Time: 1.65 (s), x: -2.08 (m), y: 3.69 (m)
Time: 1.75 (s), x: -2.08 (m), y: 3.71 (m)
Time: 1.85 (s), x: -2.09 (m), y: 3.73 (m)
Time: 1.96 (s), x: -2.10 (m), y: 3.76 (m)
Time: 2.06 (s), x: -2.11 (m), y: 3.80 (m)
Time: 2.16 (s), x: -2.12 (m), y: 3.84 (m)
Time: 2.27 (s), x: -2.13 (m), y: 3.86 (m)
Time: 2.37 (s), x: -2.16 (m), y: 3.89 (m)
Time: 2.47 (s), x: -2.19 (m), y: 3.93 (m)
Time: 2.58 (s), x: -2.22 (m), y: 3.97 (m)
Time: 2.68 (s), x: -2.26 (m), y: 4.01 (m)
Time: 2.79 (s), x: -2.30 (m), y: 4.05 (m)
Time: 2.89 (s), x: -2.35 (m), y: 4.07 (m)
Time: 2.99 (s), x: -2.38 (m), y: 4.08 (m)
Time: 3.09 (s), x: -2.42 (m), y: 4.07 (m)
Time: 3.19 (s), x: -2.49 (m), y: 4.06 (m)
Time: 3.29 (s), x: -2.57 (m), y: 4.05 (m)
Time: 3.40 (s), x: -2.67 (m), y: 4.04 (m)
Time: 3.51 (s), x: -2.77 (m), y: 4.03 (m)
Time: 3.61 (s), x: -2.86 (m), y: 4.01 (m)
Time: 3.71 (s), x: -2.95 (m), y: 3.97 (m)
Time: 3.82 (s), x: -3.02 (m), y: 3.93 (m)
Time: 3.92 (s), x: -3.09 (m), y: 3.89 (m)
